variable,ever_treated,never_treated,difference,std_difference,n_treated,n_control
pct_public,0.862,0.789,0.073,0.193,10459,12476
pct_rural,0.494,0.408,0.085,0.172,10459,12475
log_enroll,4.329,4.533,-0.204,-0.124,10459,12476
bl_pct_female,0.497,0.5,-0.003,-0.012,8478,10069
bl_pct_repeater,0.169,0.179,-0.01,-0.043,8723,10344
bl_pct_preschool,0.938,0.929,0.009,0.045,8720,10347
bl_pct_mother_sec,0.546,0.56,-0.014,-0.048,8787,10429
bl_ses,1.782,1.795,-0.014,-0.03,8669,10307
bl_score_lang,5.086,5.051,0.036,0.051,8454,10100
bl_score_math,5.216,5.128,0.088,0.11,8510,10151
