year,primary schools,has_regime,has_regime_pct,share_ge_50,share_ge_50_pct,share_eq_100,share_eq_100_pct
2011,30516,1226,4,702,2.3,453,1.5
2012,30521,1562,5.1,825,2.7,480,1.6
2013,30500,1851,6.1,735,2.4,401,1.3
2014,30506,2113,6.9,883,2.9,450,1.5
2015,30585,2527,8.3,1222,4,504,1.6
2016,30671,2679,8.7,1373,4.5,530,1.7
2017,30751,2630,8.6,1349,4.4,435,1.4
2018,30744,2510,8.2,1461,4.8,610,2
2019,30789,2602,8.5,1557,5.1,615,2
2020,30795,2240,7.3,1522,4.9,660,2.1
2021,30788,2218,7.2,1482,4.8,692,2.2
2022,30852,2749,8.9,1627,5.3,798,2.6
2023,30919,5631,18.2,5030,16.3,4190,13.6
2024,30899,4230,13.7,3587,11.6,2874,9.3
2025,30806,5534,18,5149,16.7,4301,14
