year,primary schools,has_regime,has_regime_pct,share_ge_50,share_ge_50_pct,share_eq_100,share_eq_100_pct
2011,30516,1851,6.1,1795,5.9,1405,4.6
2012,30521,2001,6.6,1926,6.3,1604,5.3
2013,30500,2207,7.2,2073,6.8,1755,5.8
2014,30506,2265,7.4,2119,6.9,1780,5.8
2015,30585,2494,8.2,2331,7.6,2044,6.7
2016,30671,2647,8.6,2439,8,2146,7
2017,30751,2514,8.2,2367,7.7,1789,5.8
2018,30744,2542,8.3,2418,7.9,2092,6.8
2019,30789,2542,8.3,2432,7.9,2102,6.8
2020,30795,2544,8.3,2427,7.9,2128,6.9
2021,30788,2581,8.4,2455,8,2098,6.8
2022,30852,2634,8.5,2504,8.1,2182,7.1
2023,30919,3239,10.5,3050,9.9,2680,8.7
2024,30899,3399,11,3201,10.4,2842,9.2
2025,30806,3547,11.5,3318,10.8,2935,9.5
