province,schools_last,pct_state,pct_rural,enrol,median_size,pct_treated_first,pct_treated_last,schools_ever,schools_assessed,pct_assessed
Buenos Aires,10540,68.3,17.7,1925161,93,4.1,10.6,11613,5914,50.9
Córdoba,3086,75.5,38.4,408593,66,8.8,50.3,3459,2075,60
Entre Ríos,1818,82.4,50.4,162910,29,2.7,6.8,1921,1265,65.9
Santa Fe,1706,81.9,41,377693,159,5.1,99.1,1990,1745,87.7
Santiago del Estero,1289,93.1,79.7,133261,25,2.4,12.1,1352,1236,91.4
Tucumán,1284,79.6,51.8,196778,70,11.6,11.7,1338,760,56.8
Misiones,1235,88.5,45.6,181441,71,4.7,10.9,1418,1298,91.5
Corrientes,1177,91.2,63.9,147442,34,1.1,3.5,1279,897,70.1
Chaco,1169,92.3,66.3,166879,22,6.3,93.4,1373,1199,87.3
Ciudad de Buenos Aires,926,50.6,0,253904,245,36.1,54.8,949,896,94.4
Mendoza,924,79.1,36.8,224862,197,24.3,25,935,873,93.4
Formosa,898,96.5,67.6,83121,26,7.5,11.7,991,586,59.1
Salta,852,88.6,53.3,182118,70.5,23.8,36.2,912,835,91.6
Catamarca,652,95.6,69.8,48361,19,9.3,43.6,993,447,45
San Juan,639,83.7,43,102480,103,9.5,37.5,645,417,64.7
San Luis,540,90.9,56.1,56610,25,4.8,4.7,588,378,64.3
Jujuy,434,89.6,52.5,87585,76.5,25.8,59,458,435,95
Chubut,431,82.1,32.2,67022,112,15.9,24.5,460,245,53.3
Río Negro,399,79.9,28.1,86482,213,20,34.7,410,398,97.1
Neuquén,378,85.2,37.8,81462,215,11.7,23.9,388,291,75
La Rioja,363,93.4,65,43504,17,7.6,28.5,399,363,91
La Pampa,350,90.9,38.3,38280,50,16.2,30.1,393,201,51.1
Santa Cruz,121,76,15.7,39641,316,7.3,18.5,125,122,97.6
Tierra del Fuego,94,77.7,6.4,19795,149.5,37,12.8,104,66,63.5
