year,n,score_lang,score_math,pct_below_basic_lang,pct_satisf_plus_lang,share_expanded,enroll_primary,province,sector,area,pct_female,pct_preschool,pct_repeater,ses_index,pct_mother_secondary,climate_index,overage_g6,repeaters_g6,n_meals,nonpromotion_rate_g6,dropout_rate_g6
2011,31271,100,100,100,100,2.4,0.9,0,0.9,0.9,100,100,100,100,100,100,44.8,32.1,0,32.5,32.5
2012,31044,100,100,100,100,1.7,0.4,0,0.4,0.4,100,100,100,100,100,100,45.1,31.5,0,31.5,31.5
2013,31005,100,100,100,100,2.2,0.4,0,0.4,0.4,100,100,100,100,100,100,45.3,31.5,0.6,31.6,31.6
2014,30993,100,100,100,100,1.6,0.4,0,0.4,0.4,100,100,100,100,100,100,47.1,31.4,0,31.7,31.7
2015,31063,100,100,100,100,1.5,0.5,0,0.5,0.5,100,100,100,100,100,100,48.7,31.8,0,31.7,31.7
2016,31117,40.4,40,40.4,40.4,1.4,0.4,0,0.4,0.4,40.3,38.6,38.6,38.9,38.1,42.1,51.7,32.1,0,32.3,32.3
2017,31158,100,100,100,100,1.3,0.3,0,0.3,0.3,100,100,100,100,100,100,54.3,32.7,0,32.2,32.2
2018,31141,37.1,37.2,37.1,37.1,1.3,0.3,0,0.3,0.3,36.5,36.7,36.5,37.2,36.4,100,56.9,32.8,0,33,33
2019,31268,100,100,100,100,1.5,0.6,0,0.6,0.6,100,100,100,100,100,100,60.1,33.2,0,33.7,33.7
2020,31271,100,100,100,100,1.5,0.5,0,0.5,0.5,100,100,100,100,100,100,63.3,33.4,0,33.9,33.9
2021,31277,37.3,37.5,37.3,37.3,1.6,0.6,0,0.6,0.6,37.2,37.5,37.3,37.2,37.4,100,64.1,33.5,0,34.1,34.1
2022,31334,88.2,88.3,88.2,88.2,1.5,0.6,0,0.6,0.6,88,88.1,88,88.1,88.1,100,66.8,33.6,0,33.9,33.9
2023,31354,38.7,38.8,38.7,38.7,1.4,0.4,0,0.4,0.4,38.6,38,38.6,100,38.6,42.5,72.1,33.9,0,34.1,34.1
2024,31340,100,100,100,100,1.4,0.3,0,0.3,0.3,100,100,100,100,100,100,74,34.5,0,34.2,34.2
2025,31305,38.5,38.5,38.5,38.5,1.6,0.5,0,0.5,0.5,37.7,37.8,37.8,38.4,37.9,100,74.6,34.7,0,35,35
