province,year,pct_treated
Mendoza,2011,24.3
Mendoza,2012,31.1
Mendoza,2013,23.3
Mendoza,2014,23.6
Mendoza,2015,23.4
Mendoza,2016,22.5
Mendoza,2017,20.7
Mendoza,2018,19.6
Mendoza,2019,17.9
Mendoza,2020,5.5
Mendoza,2021,7.1
Mendoza,2022,19.9
Mendoza,2023,28.1
Mendoza,2024,25.4
Mendoza,2025,25
Santa Fe,2011,5.1
Santa Fe,2012,5.1
Santa Fe,2013,4.9
Santa Fe,2014,5.2
Santa Fe,2015,5.4
Santa Fe,2016,7.7
Santa Fe,2017,9.5
Santa Fe,2018,9.6
Santa Fe,2019,11.2
Santa Fe,2020,11.2
Santa Fe,2021,12.1
Santa Fe,2022,11.8
Santa Fe,2023,80
Santa Fe,2024,11.7
Santa Fe,2025,99.1
Buenos Aires,2012,4.5
Buenos Aires,2013,4.4
Buenos Aires,2014,4.4
Buenos Aires,2015,6
Buenos Aires,2016,6.4
Buenos Aires,2017,6.6
Buenos Aires,2018,6.8
Buenos Aires,2019,6.9
Buenos Aires,2020,6.9
Buenos Aires,2021,7
Buenos Aires,2022,6.9
Buenos Aires,2023,8.4
Buenos Aires,2024,9.6
Buenos Aires,2025,10.6
Buenos Aires,2011,4.1
Chaco,2011,6.3
Chaco,2012,6.4
Chaco,2013,7.4
Chaco,2017,6.5
Chaco,2018,6.8
Chaco,2019,6.7
Chaco,2020,7.1
Chaco,2021,7.3
Chaco,2022,7.5
Chaco,2023,93.7
Chaco,2025,93.4
Entre Ríos,2011,2.7
Entre Ríos,2012,3.3
Entre Ríos,2013,4.2
Entre Ríos,2014,6
Entre Ríos,2015,7
Entre Ríos,2016,7.5
Entre Ríos,2017,7
Entre Ríos,2018,7
Entre Ríos,2019,6.5
Entre Ríos,2020,7.1
Entre Ríos,2021,6.6
Entre Ríos,2022,6.6
Entre Ríos,2023,7.9
Entre Ríos,2024,7.4
Entre Ríos,2025,6.8
Santiago del Estero,2011,2.4
Santiago del Estero,2012,2.9
Santiago del Estero,2013,2.8
Santiago del Estero,2014,3.1
Santiago del Estero,2015,3.1
Santiago del Estero,2016,5.2
Santiago del Estero,2017,4.3
Santiago del Estero,2018,4.8
Santiago del Estero,2019,5
Santiago del Estero,2020,4.9
Santiago del Estero,2021,5.3
Santiago del Estero,2022,5.5
Santiago del Estero,2023,10.3
Santiago del Estero,2024,10.4
Santiago del Estero,2025,12.1
Ciudad de Buenos Aires,2011,36.1
Tucumán,2019,10.1
Tucumán,2020,9.7
Tucumán,2021,9.7
Tucumán,2022,10.1
Tucumán,2023,33.7
Tucumán,2024,9.3
Tucumán,2025,11.7
Córdoba,2011,8.8
Córdoba,2012,10.1
Córdoba,2013,11.1
Córdoba,2014,13.3
Córdoba,2015,20.1
Córdoba,2016,20.8
Córdoba,2017,20.2
