year,wave_type,schools,students_tested,matched_ra,match_rate_pct,mean_school_size
2011,,31271,0,30516,97.59,
2012,,31044,0,30521,98.32,
2013,,31005,0,30317,97.78,
2014,,30993,0,30506,98.43,
2015,,31063,0,30585,98.46,
2016,census,19443,561868,19417,99.87,28.9
2016,,11674,0,11254,96.4,
2017,,31158,0,30751,98.69,
2018,census,19937,585209,19915,99.89,29.4
2018,,11204,0,10829,96.65,
2019,,31268,0,30789,98.47,
2020,,31271,0,30795,98.48,
2021,census,19971,635416,19905,99.67,31.8
2021,,11306,0,10883,96.26,
2022,sample,3764,128482,3758,99.84,34.1
2022,,27570,0,27094,98.27,
2023,census,19820,641834,19775,99.77,32.4
2023,,11534,0,11144,96.62,
2024,,31340,0,30899,98.59,
2025,census,19520,641047,19436,99.57,32.8
2025,,11785,0,11370,96.48,
