variable,n,mean,sd,min,p25,median,p75,max
score_lang,99936,509.884,59.783,260.951,469.708,504.544,546.022,761.937
score_math,99936,504.825,73.049,229.512,455.053,492.604,541.986,802.616
share_expanded,460459,0.143,0.332,0,0,0,0,1
enroll_primary,465713,172.072,208.198,0,22,79,270,2234
n_tested,102455,31.173,30.96,1,5,22,49,318
pct_below_basic_lang,99936,0.092,0.142,0,0,0.038,0.13,1
pct_satisf_plus_lang,99936,0.723,0.247,0,0.571,0.76,0.933,1
pct_female,100540,0.484,0.227,0,0.4,0.5,0.571,1
pct_preschool,101046,0.941,0.163,0,0.953,1,1,1
pct_repeater,100987,0.142,0.209,0,0,0.064,0.192,1
overage_g6,196763,7.512,9.265,1,2,4,10,351
n_meals,467748,171.225,278.778,0,0,35,250,5664
