threshold,subject,att,se,eff1,eff2,switchers1,placebo1,placebo1_se,placebo2,placebo2_se
any (>0),language,0.0167,0.0113,0.0051,0.0364,3144,-0.0113,0.0151,-0.0073,0.0246
any (>0),mathematics,0.0284,0.0134,0.0078,0.0636,3129,-0.0297,0.0177,0.0424,0.0303
0.40,language,0.0171,0.0124,3e-04,0.0478,2675,0.0028,0.017,0.0035,0.0253
0.40,mathematics,0.0355,0.0147,0.0168,0.0647,2665,0.0145,0.0204,0.0682,0.0319
0.50 (headline),language,0.0147,0.0114,0.0033,0.033,3064,0.016,0.0163,-3e-04,0.0247
0.50 (headline),mathematics,0.0277,0.0139,0.0118,0.0508,3052,0.0227,0.0193,0.0634,0.0313
0.60,language,0.0164,0.0116,0.0028,0.0444,2835,0.0225,0.0168,-0.0026,0.0238
0.60,mathematics,0.0316,0.0143,0.0173,0.0571,2822,0.0333,0.0202,0.0554,0.0307
0.75 (data valley),language,0.019,0.0117,0.0106,0.0351,2730,0.0253,0.0175,0.0013,0.0239
0.75 (data valley),mathematics,0.0309,0.0144,0.0183,0.0544,2718,0.0402,0.0208,0.0485,0.0308
