estimator,regime,subject,covariates,n_schools,n_obs,att,se,status
CDH (headline),combined,language,none (absorbed),,99697,0.0147,0.0114,""
CDH (headline),combined,mathematics,none (absorbed),,99391,0.0277,0.0139,""
CDH (headline),full-day,language,none (absorbed),,99697,0.021,0.0215,""
CDH (headline),full-day,mathematics,none (absorbed),,99391,0.0653,0.0278,""
CS (absorbing),combined,language,none,18578,78399,0.0069,0.0217,""
CS (absorbing),combined,mathematics,none,18557,78127,0.0781,0.0251,""
CS (absorbing),combined,language,structural,18577,78398,-0.032,0.0236,""
CS (absorbing),combined,mathematics,structural,18556,78126,0.02,0.0266,""
CS (absorbing),combined,language,none (comp-sample),14302,66963,0.0253,0.0209,""
CS (absorbing),combined,mathematics,none (comp-sample),14296,66814,0.0761,0.0254,""
CS (absorbing),combined,language,composition,13686,64124,0.0051,0.0273,""
CS (absorbing),combined,mathematics,composition,13680,63981,0.0486,0.0292,""
CS (absorbing),combined,language,"composition, no SES",,,,,"An unexpected error occurred, normally associated with a singular matrix due to not enough control units. Try changing faster_mode=FALSE."
CS (absorbing),combined,mathematics,"composition, no SES",,,,,"An unexpected error occurred, normally associated with a singular matrix due to not enough control units. Try changing faster_mode=FALSE."
CDH (enrol-weighted),combined,language,none (absorbed),,99697,0.0108,0.0087,""
CDH (enrol-weighted),combined,mathematics,none (absorbed),,99391,0.0183,0.0102,""
CDH (grade-6-weighted),combined,language,none (absorbed),,99697,0.0134,0.0088,""
CDH (grade-6-weighted),combined,mathematics,none (absorbed),,99391,0.0198,0.0104,""
CDH (never-switchers),combined,language,none (absorbed),,99697,0.0135,0.0113,""
CDH (never-switchers),combined,mathematics,none (absorbed),,99391,0.0263,0.0138,""
CS (enrol-weighted),combined,language,composition,13686,64124,0.0082,0.0178,""
CS (enrol-weighted),combined,mathematics,composition,13680,63981,0.0125,0.0193,""
CS (grade-6-weighted),combined,language,composition,13686,64124,0.0099,0.017,""
CS (grade-6-weighted),combined,mathematics,composition,13680,63981,0.0125,0.0193,""
TWFE (benchmark),combined,language,none (absorbed),,98316,-0.0294,0.0063,""
TWFE (benchmark),combined,mathematics,none (absorbed),,97990,-0.0503,0.0077,""
