spec,subject,parameter,estimate,se,switchers
"3 horizons, all switchers",language,Effect_1,0.0033,0.0106,3064
"3 horizons, all switchers",language,Effect_2,0.033,0.0149,1495
"3 horizons, all switchers",language,Effect_3,-0.0066,0.0187,837
"3 horizons, all switchers",language,Placebo_1,0.016,0.0163,1258
"3 horizons, all switchers",language,Placebo_2,-3e-04,0.0247,467
"3 horizons, all switchers",language,ATE,0.0118,0.0116,
"3 horizons, all switchers",mathematics,Effect_1,0.0118,0.0129,3052
"3 horizons, all switchers",mathematics,Effect_2,0.0508,0.0187,1490
"3 horizons, all switchers",mathematics,Effect_3,-0.0331,0.0242,836
"3 horizons, all switchers",mathematics,Placebo_1,0.0227,0.0193,1251
"3 horizons, all switchers",mathematics,Placebo_2,0.0634,0.0313,466
"3 horizons, all switchers",mathematics,ATE,0.0185,0.0142,
"3 horizons, same switchers",language,Effect_1,0.0286,0.0255,381
"3 horizons, same switchers",language,Effect_2,0.005,0.0245,381
"3 horizons, same switchers",language,Effect_3,0.0163,0.0231,381
"3 horizons, same switchers",language,Placebo_1,-0.0282,0.0356,93
"3 horizons, same switchers",language,Placebo_2,-0.033,0.0412,93
"3 horizons, same switchers",language,ATE,0.0218,0.0272,
"3 horizons, same switchers",mathematics,Effect_1,-0.0057,0.0278,380
"3 horizons, same switchers",mathematics,Effect_2,-0.0016,0.0301,380
"3 horizons, same switchers",mathematics,Effect_3,-0.0117,0.0283,380
"3 horizons, same switchers",mathematics,Placebo_1,-0.0376,0.0514,93
"3 horizons, same switchers",mathematics,Placebo_2,-0.0221,0.0492,93
"3 horizons, same switchers",mathematics,ATE,-0.0083,0.0311,
"2 horizons, same switchers",language,Effect_1,0.0043,0.0145,1495
"2 horizons, same switchers",language,Effect_2,0.033,0.0149,1495
"2 horizons, same switchers",language,Placebo_1,0.0206,0.021,586
"2 horizons, same switchers",language,ATE,0.0225,0.0157,
"2 horizons, same switchers",mathematics,Effect_1,0.0215,0.0174,1488
"2 horizons, same switchers",mathematics,Effect_2,0.0507,0.0187,1488
"2 horizons, same switchers",mathematics,Placebo_1,0.0518,0.0265,582
"2 horizons, same switchers",mathematics,ATE,0.0435,0.0191,
"2 horizons, same switchers, pupil-weighted",language,Effect_1,0.0048,0.0106,1495
"2 horizons, same switchers, pupil-weighted",language,Effect_2,0.0219,0.0113,1495
"2 horizons, same switchers, pupil-weighted",language,Placebo_1,0.0018,0.0139,586
"2 horizons, same switchers, pupil-weighted",language,ATE,0.0164,0.0122,
"2 horizons, same switchers, pupil-weighted",mathematics,Effect_1,0.0146,0.0126,1488
"2 horizons, same switchers, pupil-weighted",mathematics,Effect_2,0.0249,0.0139,1488
"2 horizons, same switchers, pupil-weighted",mathematics,Placebo_1,0.0378,0.0169,582
"2 horizons, same switchers, pupil-weighted",mathematics,ATE,0.0243,0.0144,
main (2 horizons),language,Effect_1,0.0033,0.0106,3064
main (2 horizons),language,Effect_2,0.033,0.0149,1495
main (2 horizons),language,Placebo_1,0.016,0.0163,1258
main (2 horizons),language,ATE,0.0147,0.0114,
main (2 horizons),mathematics,Effect_1,0.0118,0.0129,3052
main (2 horizons),mathematics,Effect_2,0.0508,0.0187,1490
main (2 horizons),mathematics,Placebo_1,0.0227,0.0193,1251
main (2 horizons),mathematics,ATE,0.0277,0.0139,
group-specific linear trends,language,Effect_1,0.0298,0.0219,2031
group-specific linear trends,language,Effect_2,0.0689,0.0541,609
group-specific linear trends,language,Placebo_1,0.0097,0.0343,663
group-specific linear trends,language,ATE,,,
group-specific linear trends,mathematics,Effect_1,0.0545,0.0261,2021
group-specific linear trends,mathematics,Effect_2,0.1381,0.0705,605
group-specific linear trends,mathematics,Placebo_1,0.0787,0.0418,658
group-specific linear trends,mathematics,ATE,,,
"complete-case, uncontrolled",language,Effect_1,0.0023,0.0105,3013
"complete-case, uncontrolled",language,Effect_2,0.0303,0.0147,1462
"complete-case, uncontrolled",language,Placebo_1,0.0098,0.0158,1214
"complete-case, uncontrolled",language,ATE,0.0128,0.0113,
"complete-case, uncontrolled",mathematics,Effect_1,0.0087,0.0126,3002
