regime,spec,subject,parameter,estimate,se,switchers
combined,1 horizon(s),language,Effect_1,0.0033,0.0106,3064
combined,1 horizon(s),language,Placebo_1,0.016,0.0163,1258
combined,1 horizon(s),language,ATE,0.0033,0.0106,
combined,1 horizon(s),mathematics,Effect_1,0.0118,0.0129,3052
combined,1 horizon(s),mathematics,Placebo_1,0.0227,0.0193,1251
combined,1 horizon(s),mathematics,ATE,0.0118,0.0129,
combined,2 horizon(s),language,Effect_1,0.0033,0.0106,3064
combined,2 horizon(s),language,Effect_2,0.033,0.0149,1495
combined,2 horizon(s),language,Placebo_1,0.016,0.0163,1258
combined,2 horizon(s),language,ATE,0.0147,0.0114,
combined,2 horizon(s),mathematics,Effect_1,0.0118,0.0129,3052
combined,2 horizon(s),mathematics,Effect_2,0.0508,0.0187,1490
combined,2 horizon(s),mathematics,Placebo_1,0.0227,0.0193,1251
combined,2 horizon(s),mathematics,ATE,0.0277,0.0139,
combined,3 horizon(s),language,Effect_1,0.0033,0.0106,3064
combined,3 horizon(s),language,Effect_2,0.033,0.0149,1495
combined,3 horizon(s),language,Effect_3,-0.0066,0.0187,837
combined,3 horizon(s),language,Placebo_1,0.016,0.0163,1258
combined,3 horizon(s),language,ATE,0.0118,0.0116,
combined,3 horizon(s),mathematics,Effect_1,0.0118,0.0129,3052
combined,3 horizon(s),mathematics,Effect_2,0.0508,0.0187,1490
combined,3 horizon(s),mathematics,Effect_3,-0.0331,0.0242,836
combined,3 horizon(s),mathematics,Placebo_1,0.0227,0.0193,1251
combined,3 horizon(s),mathematics,ATE,0.0185,0.0142,
full-day,1 horizon(s),language,Effect_1,0.0207,0.0207,900
full-day,1 horizon(s),language,Placebo_1,0.0407,0.0339,305
full-day,1 horizon(s),language,ATE,0.0207,0.0207,
full-day,1 horizon(s),mathematics,Effect_1,0.0688,0.0261,897
full-day,1 horizon(s),mathematics,Placebo_1,0.1046,0.0378,301
full-day,1 horizon(s),mathematics,ATE,0.0688,0.0261,
full-day,2 horizon(s),language,Effect_1,0.0207,0.0207,900
full-day,2 horizon(s),language,Effect_2,0.0167,0.0318,382
full-day,2 horizon(s),language,Placebo_1,0.0407,0.0339,305
full-day,2 horizon(s),language,ATE,0.021,0.0215,
full-day,2 horizon(s),mathematics,Effect_1,0.0688,0.0261,897
full-day,2 horizon(s),mathematics,Effect_2,0.0415,0.0416,381
full-day,2 horizon(s),mathematics,Placebo_1,0.1046,0.0378,301
full-day,2 horizon(s),mathematics,ATE,0.0653,0.0278,
full-day,3 horizon(s),language,Effect_1,0.0207,0.0207,900
full-day,3 horizon(s),language,Effect_2,0.0167,0.0318,382
full-day,3 horizon(s),language,Effect_3,-0.0067,0.039,231
full-day,3 horizon(s),language,Placebo_1,0.0407,0.0339,305
full-day,3 horizon(s),language,ATE,0.0174,0.0215,
full-day,3 horizon(s),mathematics,Effect_1,0.0688,0.0261,897
full-day,3 horizon(s),mathematics,Effect_2,0.0415,0.0416,381
full-day,3 horizon(s),mathematics,Effect_3,0.055,0.0495,230
full-day,3 horizon(s),mathematics,Placebo_1,0.1046,0.0378,301
full-day,3 horizon(s),mathematics,ATE,0.0672,0.0282,
