regime,spec,subject,parameter,estimate,se,switchers
combined,"main (2 horizons), all placebos",language,Effect_1,0.0033,0.0106,3064
combined,"main (2 horizons), all placebos",language,Effect_2,0.033,0.0149,1495
combined,"main (2 horizons), all placebos",language,Placebo_1,0.016,0.0163,1258
combined,"main (2 horizons), all placebos",language,Placebo_2,-3e-04,0.0247,467
combined,"main (2 horizons), all placebos",language,ATE,0.0147,0.0114,
combined,"main (2 horizons), all placebos",mathematics,Effect_1,0.0118,0.0129,3052
combined,"main (2 horizons), all placebos",mathematics,Effect_2,0.0508,0.0187,1490
combined,"main (2 horizons), all placebos",mathematics,Placebo_1,0.0227,0.0193,1251
combined,"main (2 horizons), all placebos",mathematics,Placebo_2,0.0634,0.0313,466
combined,"main (2 horizons), all placebos",mathematics,ATE,0.0277,0.0139,
full-day,"main (2 horizons), all placebos",language,Effect_1,0.0207,0.0207,900
full-day,"main (2 horizons), all placebos",language,Effect_2,0.0167,0.0318,382
full-day,"main (2 horizons), all placebos",language,Placebo_1,0.0407,0.0339,305
full-day,"main (2 horizons), all placebos",language,Placebo_2,-0.0292,0.0665,95
full-day,"main (2 horizons), all placebos",language,ATE,0.021,0.0215,
full-day,"main (2 horizons), all placebos",mathematics,Effect_1,0.0688,0.0261,897
full-day,"main (2 horizons), all placebos",mathematics,Effect_2,0.0415,0.0416,381
full-day,"main (2 horizons), all placebos",mathematics,Placebo_1,0.1046,0.0378,301
full-day,"main (2 horizons), all placebos",mathematics,Placebo_2,0.0875,0.0748,95
full-day,"main (2 horizons), all placebos",mathematics,ATE,0.0653,0.0278,
