wave_pair,grp,n,mean_change,se
2016-2018,just adopts,466,-0.0232,0.0111
2016-2018,just exits,433,-0.0308,0.0095
2016-2018,still treated,2714,-0.0054,0.0049
2016-2018,still untreated,13173,-0.0227,0.0023
2016-2021,just adopts,23,0.0707,0.1218
2016-2021,just exits,15,-0.0082,0.1066
2016-2021,still treated,94,0.0353,0.0333
2016-2021,still untreated,732,0.039,0.0165
2016-2022,still treated,3,-0.1484,0.0979
2016-2022,still untreated,19,0.2526,0.1056
2016-2023,just adopts,68,0.0984,0.0558
2016-2023,just exits,2,-0.25,0.25
2016-2023,still treated,17,0.2818,0.0834
2016-2023,still untreated,128,0.1483,0.0496
2016-2025,just adopts,31,0.2785,0.1085
2016-2025,just exits,1,0,
2016-2025,still treated,6,-0.0567,0.0924
2016-2025,still untreated,53,0.3205,0.0783
2018-2021,just adopts,326,0.0557,0.0163
2018-2021,just exits,479,0.0398,0.0116
2018-2021,re-adopts,172,0.006,0.0162
2018-2021,still treated,2797,0.0263,0.0046
2018-2021,still untreated,13493,0.0267,0.0023
2018-2022,just adopts,4,0.4315,0.1935
2018-2022,just exits,2,0.5833,0.4167
2018-2022,re-adopts,1,0.25,
2018-2022,still treated,39,0.1729,0.067
2018-2022,still untreated,118,0.1471,0.04
2018-2023,just adopts,253,0.1829,0.033
2018-2023,just exits,9,0.14,0.0179
2018-2023,re-adopts,5,0.113,0.1265
2018-2023,still treated,141,0.177,0.0336
2018-2023,still untreated,514,0.1456,0.021
2018-2025,just adopts,90,0.2998,0.057
2018-2025,just exits,4,0.3349,0.2234
2018-2025,re-adopts,1,0.0577,
2018-2025,still treated,30,0.1556,0.0998
2018-2025,still untreated,130,0.2208,0.048
2021-2022,just adopts,102,0.1337,0.0236
2021-2022,just exits,44,0.1296,0.0368
2021-2022,re-adopts,43,0.0901,0.0586
2021-2022,still treated,582,0.1003,0.0102
2021-2022,still untreated,2575,0.122,0.0045
2021-2023,just adopts,2295,0.144,0.0071
2021-2023,just exits,238,0.1448,0.012
2021-2023,re-adopts,227,0.1379,0.0143
2021-2023,still treated,2417,0.1566,0.0054
2021-2023,still untreated,8860,0.1434,0.0028
2021-2025,just adopts,244,0.1334,0.0319
2021-2025,just exits,30,0.14,0.0192
2021-2025,re-adopts,7,0.1853,0.0554
2021-2025,still treated,121,0.2121,0.0283
2021-2025,still untreated,493,0.1244,0.0217
2022-2023,just adopts,386,0.0755,0.0144
2022-2023,just exits,85,0.0202,0.0153
2022-2023,re-adopts,43,0.0067,0.0275
2022-2023,still treated,627,0.054,0.0093
2022-2023,still untreated,2196,0.0389,0.0043
2022-2025,just adopts,38,0.1777,0.0859
2022-2025,just exits,5,0.1488,0.0969
2022-2025,re-adopts,3,-0.1373,0.1373
2022-2025,still treated,35,0.1448,0.0704
2022-2025,still untreated,70,0.0435,0.0438
2023-2025,just adopts,851,0.054,0.0094
2023-2025,just exits,768,0.0516,0.0098
2023-2025,re-adopts,216,0.0529,0.0136
2023-2025,still treated,5315,0.0486,0.0041
2023-2025,still untreated,10256,0.0422,0.0024
all (pooled),just adopts,5177,0.1077,0.0049
all (pooled),just exits,2115,0.0451,0.0053
all (pooled),re-adopts,718,0.0692,0.0085
all (pooled),still treated,14938,0.0577,0.0023
all (pooled),still untreated,52810,0.0458,0.0012
