variable,group,n,mean,sd,std_diff
enroll_primary,k=1 and 2,1114,250.233393177738,208.285430577829,0.204939259373623
enroll_primary,k=1 only,1569,209.036966220523,193.477243586134,
enroll_primary,k=1 to 3,381,304.42782152231,215.779671162702,0.465475477960507
enroll_g6,k=1 and 2,1114,39.7226211849192,33.5276272335529,0.238919833352184
enroll_g6,k=1 only,1569,32.1548757170172,29.7067015261155,
enroll_g6,k=1 to 3,381,46.0577427821522,33.702441331952,0.437644945907367
log_enroll,k=1 and 2,1114,5.03864712737813,1.15912600064406,0.277285999404918
log_enroll,k=1 only,1569,4.6840029987919,1.38853262515585,
log_enroll,k=1 to 3,381,5.38524181485719,0.949504097085834,0.589548976104254
is_public,k=1 and 2,1114,0.850089766606822,0.357143744322958,0.241389050891883
is_public,k=1 only,1569,0.754620777565328,0.430449011654513,
is_public,k=1 to 3,381,0.614173228346457,0.487430061290657,-0.305438274368206
is_rural,k=1 and 2,1114,0.340215439856373,0.47399427579883,-0.132358238110037
is_rural,k=1 only,1569,0.404079031230083,0.490869370248371,
is_rural,k=1 to 3,381,0.175853018372703,0.381195652792593,-0.519324321789122
bl_ses,k=1 and 2,1054,1.88239256986258,0.39472608714989,0.0655814016776522
bl_ses,k=1 only,1383,1.85537834465898,0.428422497506376,
bl_ses,k=1 to 3,354,2.06785047205967,0.401139811219123,0.511974352843852
bl_pct_mother_sec,k=1 and 2,1059,0.621907357804232,0.241365402408837,0.073106392393623
bl_pct_mother_sec,k=1 only,1391,0.603260881405763,0.268054828093657,
bl_pct_mother_sec,k=1 to 3,357,0.679527715311956,0.208503220587093,0.317603477180915
bl_pct_repeater,k=1 and 2,1063,0.154423711667502,0.185302075853584,-0.0108561446292773
bl_pct_repeater,k=1 only,1385,0.156476270821932,0.192762099010148,
bl_pct_repeater,k=1 to 3,357,0.11361866256692,0.144687684705001,-0.251469714009273
bl_pct_preschool,k=1 and 2,1059,0.969240525932057,0.112435743092431,0.0337274773887973
bl_pct_preschool,k=1 only,1384,0.965222313201171,0.125482140938719,
bl_pct_preschool,k=1 to 3,358,0.988650429519911,0.0315950756642321,0.256048683833139
bl_pct_female,k=1 and 2,1048,0.50420374641741,0.194649871588073,0.0435522025334046
bl_pct_female,k=1 only,1355,0.495025161379968,0.225702783279349,
bl_pct_female,k=1 to 3,351,0.497713239084116,0.173166809023631,0.0133630655136553
bl_score_lang,k=1 and 2,1057,5.06086146235617,0.615260141256892,0.00191625142150171
bl_score_lang,k=1 only,1361,5.05961209264016,0.686751255042425,
bl_score_lang,k=1 to 3,356,5.1459920363542,0.569030694583741,0.136971049304151
bl_score_math,k=1 and 2,1054,5.13683311618406,0.69523587556812,-0.01529717128701
bl_score_math,k=1 only,1371,5.14801334481732,0.764843863083204,
bl_score_math,k=1 to 3,355,5.1043064172593,0.612426484357451,-0.0630837965195515
first_switch_wave,k=1 and 2,1114,3.08707360861759,1.4301822463691,-1.19834618833355
first_switch_wave,k=1 only,1569,4.83492670490758,1.48638506847749,
first_switch_wave,k=1 to 3,381,2.85826771653543,0.830894344877718,-1.64160349989967
