definition,exposure_years,spec,subject,parameter,estimate,se,switchers
main,0,1 horizon,language,ATE,-4e-04,0.013,
main,0,1 horizon,language,Effect_1,-4e-04,0.013,1705
main,0,1 horizon,language,Placebo_1,0.0132,0.019,768
main,0,1 horizon,mathematics,ATE,0.0336,0.0149,
main,0,1 horizon,mathematics,Effect_1,0.0336,0.0149,1698
main,0,1 horizon,mathematics,Placebo_1,0.0561,0.0223,763
main,0,2 horizons,language,ATE,0.008,0.0142,
main,0,2 horizons,language,Effect_1,-4e-04,0.013,1705
main,0,2 horizons,language,Effect_2,0.0205,0.0177,933
main,0,2 horizons,language,Placebo_1,0.0132,0.019,768
main,0,2 horizons,language,Placebo_2,-0.0048,0.0254,448
main,0,2 horizons,mathematics,ATE,0.0346,0.0169,
main,0,2 horizons,mathematics,Effect_1,0.0336,0.0149,1698
main,0,2 horizons,mathematics,Effect_2,0.0242,0.0221,930
main,0,2 horizons,mathematics,Placebo_1,0.0561,0.0223,763
main,0,2 horizons,mathematics,Placebo_2,0.0576,0.0322,447
main,0,"2 horizons, same switchers",language,ATE,0.007,0.0191,
main,0,"2 horizons, same switchers",language,Effect_1,-0.009,0.018,933
main,0,"2 horizons, same switchers",language,Effect_2,0.0205,0.0177,933
main,0,"2 horizons, same switchers",language,Placebo_1,0.0113,0.0234,427
main,0,"2 horizons, same switchers",language,Placebo_2,-0.0083,0.025,427
main,0,"2 horizons, same switchers",mathematics,ATE,0.0259,0.023,
main,0,"2 horizons, same switchers",mathematics,Effect_1,0.0186,0.0209,928
main,0,"2 horizons, same switchers",mathematics,Effect_2,0.024,0.0221,928
main,0,"2 horizons, same switchers",mathematics,Placebo_1,0.0578,0.0291,424
main,0,"2 horizons, same switchers",mathematics,Placebo_2,0.0427,0.0312,424
main,0,3 horizons,language,ATE,0.0099,0.0146,
main,0,3 horizons,language,Effect_1,-4e-04,0.013,1705
main,0,3 horizons,language,Effect_2,0.0205,0.0177,933
main,0,3 horizons,language,Effect_3,0.0171,0.0256,348
main,0,3 horizons,language,Placebo_1,0.0132,0.019,768
main,0,3 horizons,language,Placebo_2,-0.0048,0.0254,448
main,0,3 horizons,mathematics,ATE,0.0357,0.0172,
main,0,3 horizons,mathematics,Effect_1,0.0336,0.0149,1698
main,0,3 horizons,mathematics,Effect_2,0.0242,0.0221,930
main,0,3 horizons,mathematics,Effect_3,0.0235,0.0309,348
main,0,3 horizons,mathematics,Placebo_1,0.0561,0.0223,763
main,0,3 horizons,mathematics,Placebo_2,0.0576,0.0322,447
main,1,1 horizon,language,ATE,-0.01,0.02,
main,1,1 horizon,language,Effect_1,-0.01,0.02,999
main,1,1 horizon,language,Placebo_1,0.0302,0.0463,211
main,1,1 horizon,mathematics,ATE,-0.0189,0.0255,
main,1,1 horizon,mathematics,Effect_1,-0.0189,0.0255,994
main,1,1 horizon,mathematics,Placebo_1,-0.0249,0.0575,209
main,1,2 horizons,language,ATE,0.01,0.0212,
main,1,2 horizons,language,Effect_1,-0.01,0.02,999
main,1,2 horizons,language,Effect_2,0.048,0.0281,484
main,1,2 horizons,language,Placebo_1,0.0302,0.0463,211
main,1,2 horizons,mathematics,ATE,0.0233,0.0267,
main,1,2 horizons,mathematics,Effect_1,-0.0189,0.0255,994
main,1,2 horizons,mathematics,Effect_2,0.1028,0.0358,482
main,1,2 horizons,mathematics,Placebo_1,-0.0249,0.0575,209
main,1,"2 horizons, same switchers",language,ATE,0.0297,0.0286,
main,1,"2 horizons, same switchers",language,Effect_1,0.0017,0.0251,484
main,1,"2 horizons, same switchers",language,Effect_2,0.048,0.0281,484
main,1,"2 horizons, same switchers",language,Placebo_1,0.0917,0.1066,33
main,1,"2 horizons, same switchers",mathematics,ATE,0.0729,0.0358,
main,1,"2 horizons, same switchers",mathematics,Effect_1,0.0193,0.0324,482
main,1,"2 horizons, same switchers",mathematics,Effect_2,0.1028,0.0358,482
main,1,"2 horizons, same switchers",mathematics,Placebo_1,0.093,0.134,33
main,1,3 horizons,language,ATE,0.0081,0.021,
main,1,3 horizons,language,Effect_1,-0.01,0.02,999
main,1,3 horizons,language,Effect_2,0.048,0.0281,484
main,1,3 horizons,language,Effect_3,-0.0057,0.0362,216
main,1,3 horizons,language,Placebo_1,0.0302,0.0463,211
main,1,3 horizons,mathematics,ATE,0.0101,0.0268,
main,1,3 horizons,mathematics,Effect_1,-0.0189,0.0255,994
main,1,3 horizons,mathematics,Effect_2,0.1028,0.0358,482
main,1,3 horizons,mathematics,Effect_3,-0.0736,0.0504,215
main,1,3 horizons,mathematics,Placebo_1,-0.0249,0.0575,209
main,2,1 horizon,language,ATE,0.0301,0.0424,
main,2,1 horizon,language,Effect_1,0.0301,0.0424,228
main,2,1 horizon,language,Placebo_1,0.0099,0.0433,187
main,2,1 horizon,mathematics,ATE,-0.0561,0.0557,
main,2,1 horizon,mathematics,Effect_1,-0.0561,0.0557,228
main,2,1 horizon,mathematics,Placebo_1,-0.0357,0.054,187
main,2,2 horizons,language,ATE,0.0386,0.0398,
main,2,2 horizons,language,Effect_1,0.0301,0.0424,228
main,2,2 horizons,language,Effect_2,0.0709,0.0606,48
main,2,2 horizons,language,Placebo_1,0.0099,0.0433,187
main,2,2 horizons,language,Placebo_2,0.9861,0.7168,2
main,2,2 horizons,mathematics,ATE,-0.0498,0.0538,
main,2,2 horizons,mathematics,Effect_1,-0.0561,0.0557,228
main,2,2 horizons,mathematics,Effect_2,-0.0098,0.088,48
main,2,2 horizons,mathematics,Placebo_1,-0.0357,0.054,187
main,2,2 horizons,mathematics,Placebo_2,1.2078,0.9627,2
main,2,"2 horizons, same switchers",language,ATE,0.0601,0.0628,
