subject,dropped,att,se,schools,shift
language,Santa Fe,0.0181,0.0129,21190,0.0034
language,Salta,0.0179,0.0114,22100,0.0032
language,La Rioja,0.0164,0.0115,22572,0.0017
language,Chaco,0.0162,0.0115,21736,0.0015
language,Chubut,0.0161,0.0115,22690,0.0014
language,Neuquén,0.0159,0.0114,22644,0.0013
language,Mendoza,0.0159,0.0116,22062,0.0012
language,La Pampa,0.0155,0.0115,22734,8e-04
language,Ciudad de Buenos Aires,0.0153,0.0118,22040,7e-04
language,Misiones,0.0153,0.0114,21637,6e-04
language,Santa Cruz,0.0152,0.0118,22813,6e-04
language,Catamarca,0.0151,0.0115,22491,5e-04
language,Formosa,0.0152,0.0115,22349,5e-04
language,none (full sample),0.0147,0.0114,22935,0
language,Entre Ríos,0.0145,0.0116,21670,-1e-04
language,San Luis,0.0145,0.0114,22557,-1e-04
language,Río Negro,0.0142,0.0115,22537,-5e-04
language,Tucumán,0.0138,0.0116,22175,-8e-04
language,Buenos Aires,0.0135,0.0125,17022,-0.0012
language,Corrientes,0.0135,0.0115,22038,-0.0012
language,Tierra del Fuego,0.0134,0.0115,22869,-0.0013
language,Santiago del Estero,0.0128,0.0115,21701,-0.0019
language,San Juan,0.0124,0.0118,22518,-0.0023
language,Jujuy,0.0122,0.0115,22500,-0.0024
language,Córdoba,0.0089,0.0126,20860,-0.0058
mathematics,Mendoza,0.0405,0.0141,22062,0.0128
mathematics,Buenos Aires,0.0327,0.0152,17022,0.005
mathematics,Ciudad de Buenos Aires,0.0325,0.0145,22040,0.0048
mathematics,San Juan,0.0293,0.0144,22518,0.0016
mathematics,Salta,0.0288,0.0139,22100,0.0011
mathematics,Chubut,0.0285,0.0141,22690,8e-04
mathematics,Santa Cruz,0.0279,0.0143,22813,2e-04
mathematics,La Pampa,0.0278,0.014,22734,1e-04
mathematics,Neuquén,0.0278,0.014,22644,1e-04
mathematics,none (full sample),0.0277,0.0139,22935,0
mathematics,Tierra del Fuego,0.0277,0.0141,22869,0
mathematics,Catamarca,0.0276,0.014,22491,-1e-04
mathematics,Chaco,0.0272,0.014,21736,-5e-04
mathematics,Misiones,0.0271,0.014,21637,-6e-04
mathematics,San Luis,0.027,0.0139,22557,-7e-04
mathematics,Santa Fe,0.027,0.0155,21190,-7e-04
mathematics,Tucumán,0.0268,0.0141,22175,-9e-04
mathematics,Formosa,0.0267,0.014,22349,-0.001
mathematics,Corrientes,0.0264,0.014,22038,-0.0013
mathematics,La Rioja,0.0264,0.0141,22572,-0.0013
mathematics,Santiago del Estero,0.0261,0.014,21701,-0.0016
mathematics,Río Negro,0.0252,0.0141,22537,-0.0025
mathematics,Córdoba,0.0249,0.0154,20860,-0.0028
mathematics,Jujuy,0.0232,0.014,22500,-0.0044
mathematics,Entre Ríos,0.0231,0.0141,21670,-0.0046
