cohort,definition,design,schools,switchers,pct_switchers
2011,main,five censuses,2442,598,9.4
2012,main,five censuses,461,182,2.9
2013,main,five censuses,300,118,1.9
2014,main,five censuses,286,130,2
2015,main,five censuses,639,265,4.2
2016,main,five censuses,394,205,3.2
2017,main,five censuses,216,170,2.7
2018,main,five censuses,225,196,3.1
2019,main,five censuses,184,144,2.3
2020,main,five censuses,147,105,1.6
2021,main,five censuses,83,71,1.1
2022,main,five censuses,176,123,1.9
2023,main,five censuses,3687,3170,49.8
2024,main,five censuses,578,348,5.5
2025,main,five censuses,628,542,8.5
,main,five censuses,12470,0,0
2011,main,six waves,2443,603,9.4
2012,main,six waves,461,183,2.9
2013,main,six waves,300,120,1.9
2014,main,six waves,287,130,2
2015,main,six waves,639,269,4.2
2016,main,six waves,394,205,3.2
2017,main,six waves,216,170,2.7
2018,main,six waves,225,197,3.1
2019,main,six waves,184,146,2.3
2020,main,six waves,147,106,1.7
2021,main,six waves,83,71,1.1
2022,main,six waves,177,130,2
2023,main,six waves,3695,3177,49.6
2024,main,six waves,579,351,5.5
2025,main,six waves,629,544,8.5
,main,six waves,12476,0,0
2011,main,three censuses,2383,312,6.5
2012,main,three censuses,446,102,2.1
2013,main,three censuses,291,66,1.4
2014,main,three censuses,283,75,1.6
2015,main,three censuses,629,166,3.4
2016,main,three censuses,390,113,2.3
2017,main,three censuses,211,60,1.2
2018,main,three censuses,222,70,1.5
2019,main,three censuses,182,48,1
2020,main,three censuses,147,30,0.6
2021,main,three censuses,83,32,0.7
2022,main,three censuses,174,123,2.6
2023,main,three censuses,3553,2763,57.3
2024,main,three censuses,557,337,7
2025,main,three censuses,618,525,10.9
,main,three censuses,11772,0,0
