horizon,years_since_adoption,cohort,definition,design,schools,pct
1,0,2011,main,five censuses,279,7.2
1,0,2012,main,five censuses,72,1.8
1,0,2013,main,five censuses,50,1.3
1,0,2014,main,five censuses,55,1.4
1,0,2015,main,five censuses,101,2.6
1,0,2016,main,five censuses,63,1.6
1,0,2017,main,five censuses,5,0.1
1,0,2018,main,five censuses,184,4.7
1,0,2019,main,five censuses,3,0.1
1,0,2020,main,five censuses,1,0
1,0,2021,main,five censuses,64,1.6
1,0,2023,main,five censuses,2524,64.8
1,0,2025,main,five censuses,493,12.7
1,1,2011,main,five censuses,188,16
1,1,2012,main,five censuses,67,5.7
1,1,2013,main,five censuses,42,3.6
1,1,2014,main,five censuses,40,3.4
1,1,2015,main,five censuses,100,8.5
1,1,2016,main,five censuses,100,8.5
1,1,2017,main,five censuses,130,11.1
1,1,2018,main,five censuses,3,0.3
1,1,2019,main,five censuses,2,0.2
1,1,2020,main,five censuses,77,6.6
1,1,2022,main,five censuses,116,9.9
1,1,2023,main,five censuses,2,0.2
1,1,2024,main,five censuses,307,26.1
1,2,2011,main,five censuses,44,19.6
1,2,2012,main,five censuses,15,6.7
1,2,2013,main,five censuses,9,4
1,2,2014,main,five censuses,9,4
1,2,2015,main,five censuses,27,12
1,2,2016,main,five censuses,9,4
1,2,2017,main,five censuses,5,2.2
1,2,2018,main,five censuses,1,0.4
1,2,2019,main,five censuses,106,47.1
1,3,2011,main,five censuses,4,14.8
1,3,2013,main,five censuses,1,3.7
1,3,2014,main,five censuses,2,7.4
1,3,2015,main,five censuses,3,11.1
1,3,2016,main,five censuses,1,3.7
1,3,2020,main,five censuses,12,44.4
1,3,2022,main,five censuses,4,14.8
1,4,2011,main,five censuses,21,18.9
1,4,2012,main,five censuses,6,5.4
1,4,2013,main,five censuses,4,3.6
1,4,2014,main,five censuses,14,12.6
1,4,2015,main,five censuses,17,15.3
1,4,2016,main,five censuses,13,11.7
1,4,2017,main,five censuses,16,14.4
1,4,2019,main,five censuses,20,18
1,5,2011,main,five censuses,1,12.5
1,5,2012,main,five censuses,4,50
1,5,2013,main,five censuses,1,12.5
1,5,2020,main,five censuses,2,25
1,6,2011,main,five censuses,11,20.4
1,6,2012,main,five censuses,3,5.6
1,6,2013,main,five censuses,4,7.4
1,6,2014,main,five censuses,4,7.4
1,6,2015,main,five censuses,10,18.5
1,6,2016,main,five censuses,9,16.7
1,6,2017,main,five censuses,9,16.7
1,6,2019,main,five censuses,4,7.4
1,8,2011,main,five censuses,3,23.1
1,8,2012,main,five censuses,3,23.1
1,8,2013,main,five censuses,1,7.7
1,8,2014,main,five censuses,1,7.7
1,8,2015,main,five censuses,1,7.7
1,8,2016,main,five censuses,2,15.4
1,8,2017,main,five censuses,2,15.4
2,2,2011,main,five censuses,132,5
2,2,2012,main,five censuses,34,1.3
2,2,2013,main,five censuses,20,0.8
2,2,2014,main,five censuses,20,0.8
2,2,2015,main,five censuses,34,1.3
2,2,2016,main,five censuses,30,1.1
2,2,2017,main,five censuses,3,0.1
2,2,2018,main,five censuses,6,0.2
2,2,2019,main,five censuses,3,0.1
2,2,2021,main,five censuses,59,2.2
2,2,2023,main,five censuses,2299,87.1
2,3,2011,main,five censuses,136,19
2,3,2012,main,five censuses,37,5.2
2,3,2013,main,five censuses,28,3.9
2,3,2014,main,five censuses,37,5.2
2,3,2015,main,five censuses,88,12.3
2,3,2016,main,five censuses,40,5.6
2,3,2018,main,five censuses,169,23.6
2,3,2019,main,five censuses,2,0.3
2,3,2020,main,five censuses,69,9.6
2,3,2022,main,five censuses,111,15.5
2,4,2011,main,five censuses,118,18.3
2,4,2012,main,five censuses,47,7.3
2,4,2013,main,five censuses,38,5.9
2,4,2014,main,five censuses,32,5
2,4,2015,main,five censuses,90,14
2,4,2016,main,five censuses,89,13.8
2,4,2017,main,five censuses,129,20
2,4,2018,main,five censuses,1,0.2
2,4,2019,main,five censuses,101,15.7
2,5,2011,main,five censuses,1,5.6
2,5,2014,main,five censuses,1,5.6
2,5,2015,main,five censuses,3,16.7
2,5,2016,main,five censuses,1,5.6
2,5,2020,main,five censuses,12,66.7
2,6,2011,main,five censuses,20,18.9
2,6,2012,main,five censuses,5,4.7
2,6,2013,main,five censuses,4,3.8
2,6,2014,main,five censuses,13,12.3
2,6,2015,main,five censuses,17,16
2,6,2016,main,five censuses,13,12.3
2,6,2017,main,five censuses,15,14.2
2,6,2019,main,five censuses,19,17.9
2,8,2011,main,five censuses,6,19.4
2,8,2012,main,five censuses,1,3.2
2,8,2013,main,five censuses,3,9.7
2,8,2014,main,five censuses,3,9.7
2,8,2015,main,five censuses,4,12.9
2,8,2016,main,five censuses,6,19.4
2,8,2017,main,five censuses,8,25.8
3,4,2011,main,five censuses,34,21.8
3,4,2012,main,five censuses,13,8.3
3,4,2013,main,five censuses,7,4.5
3,4,2014,main,five censuses,10,6.4
3,4,2015,main,five censuses,18,11.5
3,4,2016,main,five censuses,17,10.9
3,4,2018,main,five censuses,1,0.6
3,4,2021,main,five censuses,56,35.9
3,5,2011,main,five censuses,100,18.3
3,5,2012,main,five censuses,37,6.8
3,5,2013,main,five censuses,26,4.8
3,5,2014,main,five censuses,34,6.2
3,5,2015,main,five censuses,76,13.9
3,5,2016,main,five censuses,38,6.9
3,5,2018,main,five censuses,169,30.9
3,5,2020,main,five censuses,67,12.2
3,6,2011,main,five censuses,116,18.4
3,6,2012,main,five censuses,44,7
3,6,2013,main,five censuses,39,6.2
3,6,2014,main,five censuses,33,5.2
3,6,2015,main,five censuses,91,14.4
3,6,2016,main,five censuses,83,13.1
3,6,2017,main,five censuses,128,20.3
3,6,2018,main,five censuses,1,0.2
3,6,2019,main,five censuses,97,15.3
3,8,2011,main,five censuses,13,21
3,8,2012,main,five censuses,3,4.8
3,8,2013,main,five censuses,2,3.2
3,8,2014,main,five censuses,10,16.1
3,8,2015,main,five censuses,10,16.1
3,8,2016,main,five censuses,8,12.9
3,8,2017,main,five censuses,16,25.8
1,0,2011,main,six waves,222,13
1,0,2012,main,six waves,59,3.5
1,0,2013,main,six waves,42,2.5
1,0,2014,main,six waves,49,2.9
1,0,2015,main,six waves,90,5.3
1,0,2016,main,six waves,53,3.1
1,0,2017,main,six waves,4,0.2
1,0,2018,main,six waves,181,10.6
1,0,2019,main,six waves,1,0.1
1,0,2020,main,six waves,3,0.2
1,0,2021,main,six waves,63,3.7
