definition,design,horizon,years_since_adoption,switchers,pct,modal_pct,pct_adopters,mean_treated_years_cumulative,pct_treated_throughout
main,five censuses,1,0,3894,70.7,70.7,88.2,1,100
main,five censuses,1,1,1174,21.3,70.7,66.2,2,100
main,five censuses,1,2,225,4.1,70.7,63.6,2.91,90.9
main,five censuses,1,3,27,0.5,70.7,74.1,2.35,0
main,five censuses,1,4,111,2,70.7,53.2,2.97,0
main,five censuses,1,5,8,0.1,70.7,37.5,2.67,0
main,five censuses,1,6,54,1,70.7,46.3,3.16,0
main,five censuses,1,8,13,0.2,70.7,23.1,3.67,0
main,five censuses,2,2,2640,63.5,63.5,92.3,2.29,45.9
main,five censuses,2,3,717,17.2,63.5,64.4,3.1,50.6
main,five censuses,2,4,645,15.5,63.5,52.7,4.44,65.6
main,five censuses,2,5,18,0.4,63.5,77.8,3.86,0
main,five censuses,2,6,106,2.5,63.5,53.8,4.61,0
main,five censuses,2,8,31,0.7,63.5,45.2,4.86,0
main,five censuses,3,4,156,11.2,45.2,44.2,3.33,30.4
main,five censuses,3,5,547,39.2,45.2,57.2,4.56,43.1
main,five censuses,3,6,632,45.2,45.2,53.3,5.96,52.2
main,five censuses,3,8,62,4.4,45.2,43.5,6.11,0
main,six waves,1,0,1705,55.6,55.6,77.4,1,100
main,six waves,1,1,999,32.6,55.6,62.3,2,100
main,six waves,1,2,228,7.4,55.6,62.7,2.91,90.9
main,six waves,1,3,13,0.4,55.6,92.3,2.67,0
main,six waves,1,4,73,2.4,55.6,41.1,2.87,0
main,six waves,1,5,10,0.3,55.6,30,2.67,0
main,six waves,1,6,23,0.8,55.6,47.8,3.45,0
main,six waves,1,8,13,0.4,55.6,23.1,3.67,0
main,six waves,2,1,131,8.8,31,77.9,1.84,84.3
main,six waves,2,2,426,28.5,31,85.7,2.25,48.8
main,six waves,2,3,464,31,31,56,3.14,52.7
main,six waves,2,4,450,30.1,31,46.9,4.33,62.6
main,six waves,2,5,13,0.9,31,46.2,3,0
main,six waves,2,6,8,0.5,31,37.5,4.67,0
main,six waves,2,8,3,0.2,31,33.3,4,0
main,six waves,3,2,163,19.5,33.9,43.6,2.14,38
main,six waves,3,3,233,27.8,33.9,72.5,2.95,43.8
main,six waves,3,4,284,33.9,33.9,63.4,4.36,63.3
main,six waves,3,5,87,10.4,33.9,34.5,4.97,46.7
main,six waves,3,6,68,8.1,33.9,45.6,4.26,0
main,six waves,3,8,2,0.2,33.9,0,,
main,three censuses,1,0,3637,81.1,81.1,91.8,1,100
main,three censuses,1,1,815,18.2,81.1,79.9,2,100
main,three censuses,1,3,31,0.7,81.1,61.3,2.68,0
main,three censuses,2,2,2763,88.4,88.4,92.9,2.32,48.3
main,three censuses,2,3,361,11.6,88.4,72.3,3.23,56.3
