definition,design,subject,spec,parameter,estimate,se,switchers
main,five censuses,language,1 horizon,ATE,-0.0272,0.009,
main,five censuses,language,1 horizon,Effect_1,-0.0272,0.009,5506
main,five censuses,language,1 horizon,Placebo_1,-0.0071,0.0102,4146
main,five censuses,language,2 horizons,ATE,-0.021,0.0094,
main,five censuses,language,2 horizons,Effect_1,-0.0272,0.009,5506
main,five censuses,language,2 horizons,Effect_2,-0.0069,0.0101,4157
main,five censuses,language,2 horizons,Placebo_1,-0.0071,0.0102,4146
main,five censuses,language,2 horizons,Placebo_2,0.0366,0.0152,2378
main,five censuses,language,"2 horizons, pupil-weighted",ATE,0.0105,0.0066,
main,five censuses,language,"2 horizons, pupil-weighted",Effect_1,-0.003,0.0058,5506
main,five censuses,language,"2 horizons, pupil-weighted",Effect_2,0.0236,0.0067,4157
main,five censuses,language,"2 horizons, pupil-weighted",Placebo_1,0.0032,0.0063,4146
main,five censuses,language,"2 horizons, pupil-weighted",Placebo_2,0.0338,0.0104,2378
main,five censuses,language,"2 horizons, same switchers",ATE,-0.0256,0.0105,
main,five censuses,language,"2 horizons, same switchers",Effect_1,-0.0371,0.0102,4157
main,five censuses,language,"2 horizons, same switchers",Effect_2,-0.0069,0.0101,4157
main,five censuses,language,"2 horizons, same switchers",Placebo_1,-0.0196,0.0129,2275
main,five censuses,language,"2 horizons, same switchers",Placebo_2,0.0401,0.0151,2275
main,five censuses,mathematics,1 horizon,ATE,-0.0532,0.0108,
main,five censuses,mathematics,1 horizon,Effect_1,-0.0532,0.0108,5466
main,five censuses,mathematics,1 horizon,Placebo_1,-0.025,0.0129,4113
main,five censuses,mathematics,2 horizons,ATE,-0.0633,0.0115,
main,five censuses,mathematics,2 horizons,Effect_1,-0.0532,0.0108,5466
main,five censuses,mathematics,2 horizons,Effect_2,-0.0587,0.0127,4142
main,five censuses,mathematics,2 horizons,Placebo_1,-0.025,0.0129,4113
main,five censuses,mathematics,2 horizons,Placebo_2,0.0214,0.0177,2367
main,five censuses,mathematics,"2 horizons, pupil-weighted",ATE,-0.0285,0.0082,
main,five censuses,mathematics,"2 horizons, pupil-weighted",Effect_1,-0.0158,0.007,5466
main,five censuses,mathematics,"2 horizons, pupil-weighted",Effect_2,-0.0347,0.0087,4142
main,five censuses,mathematics,"2 horizons, pupil-weighted",Placebo_1,-0.0102,0.0084,4113
main,five censuses,mathematics,"2 horizons, pupil-weighted",Placebo_2,0.0448,0.0122,2367
main,five censuses,mathematics,"2 horizons, same switchers",ATE,-0.0737,0.0129,
main,five censuses,mathematics,"2 horizons, same switchers",Effect_1,-0.0682,0.0122,4128
main,five censuses,mathematics,"2 horizons, same switchers",Effect_2,-0.0584,0.0127,4128
main,five censuses,mathematics,"2 horizons, same switchers",Placebo_1,-0.0508,0.0167,2255
main,five censuses,mathematics,"2 horizons, same switchers",Placebo_2,0.0284,0.0176,2255
main,six waves,language,1 horizon,ATE,0.0033,0.0106,
main,six waves,language,1 horizon,Effect_1,0.0033,0.0106,3064
main,six waves,language,1 horizon,Placebo_1,0.016,0.0163,1258
main,six waves,language,2 horizons,ATE,0.0147,0.0114,
main,six waves,language,2 horizons,Effect_1,0.0033,0.0106,3064
main,six waves,language,2 horizons,Effect_2,0.033,0.0149,1495
main,six waves,language,2 horizons,Placebo_1,0.016,0.0163,1258
main,six waves,language,2 horizons,Placebo_2,-3e-04,0.0247,467
main,six waves,language,"2 horizons, pupil-weighted",ATE,0.0134,0.0088,
main,six waves,language,"2 horizons, pupil-weighted",Effect_1,0.006,0.0072,3064
main,six waves,language,"2 horizons, pupil-weighted",Effect_2,0.0219,0.0113,1495
main,six waves,language,"2 horizons, pupil-weighted",Placebo_1,-0.0028,0.0108,1258
main,six waves,language,"2 horizons, pupil-weighted",Placebo_2,-9e-04,0.0159,467
main,six waves,language,"2 horizons, same switchers",ATE,0.0225,0.0157,
main,six waves,language,"2 horizons, same switchers",Effect_1,0.0043,0.0145,1495
main,six waves,language,"2 horizons, same switchers",Effect_2,0.033,0.0149,1495
