definition,design,years_since_adoption,subject,spec,parameter,estimate,se,switchers
main,five censuses,0,language,1 horizon,ATE,-0.0385,0.0109,
main,five censuses,0,language,1 horizon,Effect_1,-0.0385,0.0109,3894
main,five censuses,0,language,1 horizon,Placebo_1,-0.0142,0.0119,3129
main,five censuses,0,language,2 horizons,ATE,-0.0311,0.0112,
main,five censuses,0,language,2 horizons,Effect_1,-0.0385,0.0109,3894
main,five censuses,0,language,2 horizons,Effect_2,-0.0135,0.012,3056
main,five censuses,0,language,2 horizons,Placebo_1,-0.0142,0.0119,3129
main,five censuses,0,language,2 horizons,Placebo_2,0.0372,0.0162,2139
main,five censuses,0,mathematics,1 horizon,ATE,-0.071,0.0128,
main,five censuses,0,mathematics,1 horizon,Effect_1,-0.071,0.0128,3860
main,five censuses,0,mathematics,1 horizon,Placebo_1,-0.0385,0.0152,3099
main,five censuses,0,mathematics,2 horizons,ATE,-0.0865,0.0136,
main,five censuses,0,mathematics,2 horizons,Effect_1,-0.071,0.0128,3860
main,five censuses,0,mathematics,2 horizons,Effect_2,-0.0835,0.015,3043
main,five censuses,0,mathematics,2 horizons,Placebo_1,-0.0385,0.0152,3099
main,five censuses,0,mathematics,2 horizons,Placebo_2,0.0254,0.0188,2128
main,five censuses,1,language,1 horizon,ATE,-0.0104,0.0178,
main,five censuses,1,language,1 horizon,Effect_1,-0.0104,0.0178,1174
main,five censuses,1,language,1 horizon,Placebo_1,0.0208,0.0238,626
main,five censuses,1,language,2 horizons,ATE,0.0048,0.0191,
main,five censuses,1,language,2 horizons,Effect_1,-0.0104,0.0178,1174
main,five censuses,1,language,2 horizons,Effect_2,0.0269,0.0209,745
main,five censuses,1,language,2 horizons,Placebo_1,0.0208,0.0238,626
main,five censuses,1,language,2 horizons,Placebo_2,-0.0069,0.0475,150
main,five censuses,1,mathematics,1 horizon,ATE,-0.0143,0.0227,
main,five censuses,1,mathematics,1 horizon,Effect_1,-0.0143,0.0227,1168
main,five censuses,1,mathematics,1 horizon,Placebo_1,0.0291,0.0292,623
main,five censuses,1,mathematics,2 horizons,ATE,0.0078,0.0241,
main,five censuses,1,mathematics,2 horizons,Effect_1,-0.0143,0.0227,1168
main,five censuses,1,mathematics,2 horizons,Effect_2,0.0397,0.0272,743
main,five censuses,1,mathematics,2 horizons,Placebo_1,0.0291,0.0292,623
main,five censuses,1,mathematics,2 horizons,Placebo_2,-0.0604,0.0511,150
main,five censuses,2,language,1 horizon,ATE,0.0166,0.042,
main,five censuses,2,language,1 horizon,Effect_1,0.0166,0.042,225
main,five censuses,2,language,1 horizon,Placebo_1,0.0016,0.0436,184
main,five censuses,2,language,2 horizons,ATE,-0.0093,0.0407,
main,five censuses,2,language,2 horizons,Effect_1,0.0166,0.042,225
main,five censuses,2,language,2 horizons,Effect_2,-0.036,0.0425,201
main,five censuses,2,language,2 horizons,Placebo_1,0.0016,0.0436,184
main,five censuses,2,mathematics,1 horizon,ATE,-0.0734,0.0557,
main,five censuses,2,mathematics,1 horizon,Effect_1,-0.0734,0.0557,225
main,five censuses,2,mathematics,1 horizon,Placebo_1,-0.0483,0.0529,184
main,five censuses,2,mathematics,2 horizons,ATE,-0.1004,0.0551,
main,five censuses,2,mathematics,2 horizons,Effect_1,-0.0734,0.0557,225
main,five censuses,2,mathematics,2 horizons,Effect_2,-0.106,0.0569,201
main,five censuses,2,mathematics,2 horizons,Placebo_1,-0.0483,0.0529,184
main,six waves,0,language,1 horizon,ATE,-0.0021,0.013,
main,six waves,0,language,1 horizon,Effect_1,-0.0021,0.013,1705
main,six waves,0,language,1 horizon,Placebo_1,0.0146,0.019,768
main,six waves,0,language,2 horizons,ATE,0.0059,0.0142,
main,six waves,0,language,2 horizons,Effect_1,-0.0021,0.013,1705
main,six waves,0,language,2 horizons,Effect_2,0.0186,0.0177,933
main,six waves,0,language,2 horizons,Placebo_1,0.0146,0.019,768
main,six waves,0,language,2 horizons,Placebo_2,-0.0048,0.0254,448
main,six waves,0,mathematics,1 horizon,ATE,0.0314,0.0149,
main,six waves,0,mathematics,1 horizon,Effect_1,0.0314,0.0149,1698
main,six waves,0,mathematics,1 horizon,Placebo_1,0.058,0.0223,763
main,six waves,0,mathematics,2 horizons,ATE,0.0321,0.0169,
main,six waves,0,mathematics,2 horizons,Effect_1,0.0314,0.0149,1698
main,six waves,0,mathematics,2 horizons,Effect_2,0.0221,0.0221,930
main,six waves,0,mathematics,2 horizons,Placebo_1,0.058,0.0223,763
main,six waves,0,mathematics,2 horizons,Placebo_2,0.0576,0.0322,447
main,six waves,1,language,1 horizon,ATE,-0.0105,0.02,
main,six waves,1,language,1 horizon,Effect_1,-0.0105,0.02,999
main,six waves,1,language,1 horizon,Placebo_1,0.0307,0.0463,211
main,six waves,1,language,2 horizons,ATE,0.0095,0.0212,
main,six waves,1,language,2 horizons,Effect_1,-0.0105,0.02,999
main,six waves,1,language,2 horizons,Effect_2,0.0475,0.0281,484
main,six waves,1,language,2 horizons,Placebo_1,0.0307,0.0463,211
main,six waves,1,mathematics,1 horizon,ATE,-0.0191,0.0255,
main,six waves,1,mathematics,1 horizon,Effect_1,-0.0191,0.0255,994
main,six waves,1,mathematics,1 horizon,Placebo_1,-0.0246,0.0575,209
main,six waves,1,mathematics,2 horizons,ATE,0.0234,0.0267,
main,six waves,1,mathematics,2 horizons,Effect_1,-0.0191,0.0255,994
main,six waves,1,mathematics,2 horizons,Effect_2,0.1035,0.0358,482
main,six waves,1,mathematics,2 horizons,Placebo_1,-0.0246,0.0575,209
main,six waves,2,language,1 horizon,ATE,0.0292,0.0424,
main,six waves,2,language,1 horizon,Effect_1,0.0292,0.0424,228
main,six waves,2,language,1 horizon,Placebo_1,0.0103,0.0433,187
main,six waves,2,language,2 horizons,ATE,0.0378,0.0398,
main,six waves,2,language,2 horizons,Effect_1,0.0292,0.0424,228
main,six waves,2,language,2 horizons,Effect_2,0.0706,0.0606,48
main,six waves,2,language,2 horizons,Placebo_1,0.0103,0.0433,187
main,six waves,2,language,2 horizons,Placebo_2,0.9861,0.7168,2
main,six waves,2,mathematics,1 horizon,ATE,-0.0553,0.0557,
main,six waves,2,mathematics,1 horizon,Effect_1,-0.0553,0.0557,228
main,six waves,2,mathematics,1 horizon,Placebo_1,-0.0341,0.054,187
main,six waves,2,mathematics,2 horizons,ATE,-0.0493,0.0538,
main,six waves,2,mathematics,2 horizons,Effect_1,-0.0553,0.0557,228
main,six waves,2,mathematics,2 horizons,Effect_2,-0.0107,0.088,48
main,six waves,2,mathematics,2 horizons,Placebo_1,-0.0341,0.054,187
main,six waves,2,mathematics,2 horizons,Placebo_2,1.2078,0.9627,2
main,three censuses,0,language,1 horizon,ATE,-0.0493,0.0114,
main,three censuses,0,language,1 horizon,Effect_1,-0.0493,0.0114,3637
main,three censuses,0,language,1 horizon,Placebo_1,0.0183,0.0206,590
main,three censuses,0,language,2 horizons,ATE,-0.0445,0.0115,
main,three censuses,0,language,2 horizons,Effect_1,-0.0493,0.0114,3637
main,three censuses,0,language,2 horizons,Effect_2,-0.0286,0.0127,2763
main,three censuses,0,mathematics,1 horizon,ATE,-0.089,0.0134,
main,three censuses,0,mathematics,1 horizon,Effect_1,-0.089,0.0134,3603
main,three censuses,0,mathematics,1 horizon,Placebo_1,0.0027,0.0257,588
main,three censuses,0,mathematics,2 horizons,ATE,-0.1114,0.0139,
main,three censuses,0,mathematics,2 horizons,Effect_1,-0.089,0.0134,3603
main,three censuses,0,mathematics,2 horizons,Effect_2,-0.1167,0.0159,2751
main,three censuses,1,language,1 horizon,ATE,-0.0109,0.0198,
main,three censuses,1,language,1 horizon,Effect_1,-0.0109,0.0198,815
main,three censuses,1,language,1 horizon,Placebo_1,0.0431,0.0297,384
main,three censuses,1,language,2 horizons,ATE,-0.0012,0.0202,
main,three censuses,1,language,2 horizons,Effect_1,-0.0109,0.0198,815
main,three censuses,1,language,2 horizons,Effect_2,0.0212,0.0231,361
main,three censuses,1,mathematics,1 horizon,ATE,-0.0219,0.0242,
main,three censuses,1,mathematics,1 horizon,Effect_1,-0.0219,0.0242,813
main,three censuses,1,mathematics,1 horizon,Placebo_1,0.1075,0.0357,383
main,three censuses,1,mathematics,2 horizons,ATE,-0.0314,0.0244,
main,three censuses,1,mathematics,2 horizons,Effect_1,-0.0219,0.0242,813
main,three censuses,1,mathematics,2 horizons,Effect_2,-0.0399,0.0292,361
