subject,parameter,att,se_school,se_province,se_boot_package,se_boot_own,q025,q975,n_used
language,ATE,0.0147,0.0114,0.0074,0.0103,0.0092,-0.0061,0.0325,299
language,Effect_1,0.0033,0.0106,0.0072,0.0084,0.0082,-0.0096,0.0218,299
language,Effect_2,0.033,0.0149,0.0116,0.0153,0.0145,-0.0028,0.0543,299
language,Placebo_1,0.016,0.0163,0.0125,0.0123,0.0131,-0.0089,0.0441,299
language,Placebo_2,-3e-04,0.0247,0.0185,0.0218,0.0224,-0.0476,0.0379,299
mathematics,ATE,0.0277,0.0139,0.0122,0.018,0.0181,-0.0092,0.0614,299
mathematics,Effect_1,0.0118,0.0129,0.013,0.018,0.0201,-0.0274,0.0501,299
mathematics,Effect_2,0.0508,0.0187,0.0173,0.0231,0.0223,0.0102,0.0894,299
mathematics,Placebo_1,0.0227,0.0193,0.0174,0.0301,0.0255,-0.028,0.0746,299
mathematics,Placebo_2,0.0634,0.0313,0.0361,0.0472,0.0431,-0.0196,0.1561,299
