k,est,lo,hi,subject,spec
-2,0.053333116145814,-0.00498989333490534,0.111656125626533,Mathematics,uncontrolled
-1,0.0153795882689758,-0.0203790331760789,0.0511382097140305,Mathematics,uncontrolled
0,0,,,Mathematics,uncontrolled
1,0.00874562169157352,-0.0159911958899102,0.0334824392730572,Mathematics,uncontrolled
2,0.0485783726001651,0.0124141295339075,0.0847426156664228,Mathematics,uncontrolled
3,-0.0313510514729117,-0.078270208837961,0.0155681058921376,Mathematics,uncontrolled
-2,0.0551653420255302,-0.00275954283746258,0.113090226888523,Mathematics,composition-controlled
-1,0.0186084473248874,-0.0171186185465231,0.054335513196298,Mathematics,composition-controlled
0,0,,,Mathematics,composition-controlled
1,0.0100525253760006,-0.0146940153671125,0.0347990661191137,Mathematics,composition-controlled
2,0.0465250104597588,0.0105543763681548,0.0824956445513628,Mathematics,composition-controlled
3,-0.0333897997488732,-0.0804937694165122,0.0137141699187658,Mathematics,composition-controlled
-2,-0.00470916957816627,-0.0531635740072854,0.0437452348509529,Language,uncontrolled
-1,0.00978602747957263,-0.0212330044725809,0.0408050594317262,Language,uncontrolled
0,0,,,Language,uncontrolled
1,0.00226319640007388,-0.0183293089962524,0.0228557017964002,Language,uncontrolled
2,0.0302525653397734,0.00137463961447048,0.0591304910650764,Language,uncontrolled
3,-0.00215111832659658,-0.0377819473710872,0.033479710717894,Language,uncontrolled
-2,-0.00473069768233439,-0.0528069992667303,0.0433456039020615,Language,composition-controlled
-1,0.0107933985981236,-0.0202079406122413,0.0417947378084885,Language,composition-controlled
0,0,,,Language,composition-controlled
1,0.00249417598463723,-0.01809738386921,0.0230857358384845,Language,composition-controlled
2,0.0280454748142531,-0.000677152882553843,0.0567681025110601,Language,composition-controlled
3,-0.00426617774908956,-0.0400193289207158,0.0314869734225367,Language,composition-controlled
