k,est,se,lo,hi,subject,spec
-5,0.0842851031137902,0.0266973188600144,0.0319583581481619,0.136611848079418,Language,uncontrolled
-4,0.0766489731981844,0.0269017108446377,0.0239216199426945,0.129376326453674,Language,uncontrolled
-3,0.0124507197375662,0.0260982843735627,-0.0387019176346166,0.063603357109749,Language,uncontrolled
-2,0.0298639992145912,0.0261265910693497,-0.0213441192813341,0.0810721177105166,Language,uncontrolled
-1,0,,,,Language,uncontrolled
0,0.0314729355829412,0.0218012418190373,-0.0112574983823719,0.0742033695482544,Language,uncontrolled
1,0.0148288994278334,0.0300508346106793,-0.0440707364090979,0.0737285352647648,Language,uncontrolled
2,-0.0265191268891946,0.0504783963461339,-0.125456783727617,0.0724185299492279,Language,uncontrolled
3,-0.0577796944370394,0.0317483447808793,-0.120006450207563,0.00444706133348396,Language,uncontrolled
4,-0.100745566070939,0.0414742017954651,-0.18203500159005,-0.019456130551827,Language,uncontrolled
-5,0.0744300409472777,0.0286859918968244,0.0182054968295018,0.130654585065054,Language,baseline-covariates
-4,0.0779727421694439,0.0294179244961504,0.0203136101569891,0.135631874181899,Language,baseline-covariates
-3,0.0220565169645704,0.027112817657661,-0.0310846056444451,0.0751976395735859,Language,baseline-covariates
-2,0.0329206778972926,0.02637066356511,-0.0187658226903229,0.0846071784849082,Language,baseline-covariates
-1,0,,,,Language,baseline-covariates
0,0.0189696531622899,0.028547491839035,-0.0369834308422187,0.0749227371667984,Language,baseline-covariates
1,0.0095018874229434,0.035094667483187,-0.0592836608441032,0.07828743568999,Language,baseline-covariates
2,-0.120586584374847,0.0602835829560493,-0.238742406968704,-0.00243076178099076,Language,baseline-covariates
3,-0.0119615259026945,0.0358359171910978,-0.0821999235972462,0.0582768717918572,Language,baseline-covariates
4,-0.0236780250931707,0.0417782287530386,-0.105563353449126,0.058207303262785,Language,baseline-covariates
-5,0.121746768149089,0.0318372113401339,0.0593458339224263,0.184147702375751,Mathematics,uncontrolled
-4,0.12403780197295,0.0316834155000917,0.0619383075927703,0.18613729635313,Mathematics,uncontrolled
-3,0.063862315028007,0.030888512016458,0.00332083147574937,0.124403798580265,Mathematics,uncontrolled
-2,0.0745207699419796,0.0306630612259334,0.0144211699391501,0.134620369944809,Mathematics,uncontrolled
-1,0,,,,Mathematics,uncontrolled
0,0.123998213212438,0.0255789641298956,0.0738634435178424,0.174132982907033,Mathematics,uncontrolled
1,0.0357700071757436,0.0353926216170949,-0.0335995311937624,0.105139545545249,Mathematics,uncontrolled
2,0.118868475766451,0.0610577087962269,-0.000804633474154146,0.238541585007055,Mathematics,uncontrolled
3,0.0167806587818067,0.038445753844383,-0.058573018753184,0.0921343363167975,Mathematics,uncontrolled
4,-0.0248216794712221,0.0489017259256127,-0.120669062285423,0.0710257033429787,Mathematics,uncontrolled
-5,0.0936515239642303,0.0332836423140963,0.0284155850286016,0.158887462899859,Mathematics,baseline-covariates
-4,0.145432572162364,0.0334131243960554,0.0799428483460949,0.210922295978632,Mathematics,baseline-covariates
-3,0.0830926802019466,0.0314819925723947,0.0213879747600529,0.14479738564384,Mathematics,baseline-covariates
-2,0.0771916031701723,0.0302494090706111,0.0179027613917745,0.13648044494857,Mathematics,baseline-covariates
-1,0,,,,Mathematics,baseline-covariates
0,0.063224672615934,0.0321586257897926,0.00019376606794054,0.126255579163927,Mathematics,baseline-covariates
1,0.0493207220540525,0.0403888758099124,-0.0298414745333758,0.128482918641481,Mathematics,baseline-covariates
2,-0.0320614862989566,0.0650618317644872,-0.159582676557351,0.0954597039594383,Mathematics,baseline-covariates
3,0.00166756228931329,0.0446475412304157,-0.0858416185223014,0.089176743100928,Mathematics,baseline-covariates
4,0.0124933433929264,0.0535305012446196,-0.092426439046528,0.117413125832381,Mathematics,baseline-covariates
