g,t,att,se,k,g_year,t_year,subject
2,1,0,,-1,2018,2016,language
2,2,-0.0638541011316124,0.0422425405776915,0,2018,2018,language
2,3,-0.00571992678158769,0.0455531468726863,1,2018,2021,language
2,4,-0.0490008766301974,0.0777402933104221,2,2018,2022,language
2,5,-0.105291958704792,0.0449617747029242,3,2018,2023,language
2,6,-0.100745566070939,0.0403902043673065,4,2018,2025,language
3,1,-0.00525245216164652,0.0517499672707183,-2,2021,2016,language
3,2,0,,-1,2021,2018,language
3,3,0.130914577424337,0.0506904356915509,0,2021,2021,language
3,4,0.0279792692926207,0.0909921583697931,1,2021,2022,language
3,5,0.0166012282275726,0.0425567370725217,2,2021,2023,language
3,6,0.022920240990875,0.04332611942265,3,2021,2025,language
4,1,-0.0660933233596823,0.173611680975332,-3,2022,2016,language
4,2,-0.0213287286541417,0.108817663371122,-2,2022,2018,language
4,3,0,,-1,2022,2021,language
4,4,-0.0629922622044677,0.179924905235638,0,2022,2022,language
4,5,-0.0287031060556152,0.167924174416776,1,2022,2023,language
4,6,-0.0737535086459525,0.13919924712234,2,2022,2025,language
5,1,0.0807822168436148,0.0373111835603659,-4,2023,2016,language
5,2,-0.00926145698892972,0.0364300521283783,-3,2023,2018,language
5,3,0.03597791564601,0.0353579193227199,-2,2023,2021,language
5,4,0,,-1,2023,2022,language
5,5,0.0305246588613814,0.0363325523695661,0,2023,2023,language
5,6,0.0181139584883769,0.0356485682632337,1,2023,2025,language
6,1,0.0842851031137902,0.0263952317092482,-5,2025,2016,language
6,2,0.0685515594238644,0.0238457532035047,-4,2025,2018,language
6,3,0.0569949852517121,0.0209792864664493,-3,2025,2021,language
6,4,0.0277882014186673,0.0381563690104857,-2,2025,2022,language
6,5,0,,-1,2025,2023,language
6,6,0.0510329750011271,0.0209645533236516,0,2025,2025,language
2,1,0,,-1,2018,2016,mathematics
2,2,0.14131907719634,0.0512290402948678,0,2018,2018,mathematics
2,3,0.122898273927868,0.0532000548931002,1,2018,2021,mathematics
2,4,0.195763714602644,0.090453920339863,2,2018,2022,mathematics
2,5,0.0281112318033652,0.053748235473708,3,2018,2023,mathematics
2,6,-0.0248216794712221,0.0482068793452117,4,2018,2025,mathematics
3,1,-0.0254177550644521,0.0586583603143404,-2,2021,2016,mathematics
3,2,0,,-1,2021,2018,mathematics
3,3,0.174365428481986,0.0587534223219664,0,2021,2021,mathematics
3,4,0.0585923018005022,0.105242502537406,1,2021,2022,mathematics
3,5,-0.0033582526377691,0.0561795082363959,2,2021,2023,mathematics
3,6,-0.00246440405182519,0.0553064074956314,3,2021,2025,mathematics
4,1,-0.0381441324109071,0.18839511623305,-3,2022,2016,mathematics
4,2,0.0460425308918687,0.175969792593008,-2,2022,2018,mathematics
4,3,0,,-1,2022,2021,mathematics
4,4,0.0944762823711421,0.171311796489241,0,2022,2022,mathematics
4,5,0.0718053465964876,0.219209136371555,1,2022,2023,mathematics
4,6,0.0386559934127454,0.17750738848636,2,2022,2025,mathematics
5,1,0.131343503333368,0.0437924023579291,-4,2023,2016,mathematics
5,2,0.0433909772734224,0.0437514200846289,-3,2023,2018,mathematics
5,3,0.0930019721767518,0.044756162966192,-2,2023,2021,mathematics
5,4,0,,-1,2023,2022,mathematics
5,5,0.104790665657543,0.0420895505097534,0,2023,2023,mathematics
5,6,0.0139643810157963,0.0442156666713214,1,2023,2025,mathematics
6,1,0.121746768149089,0.0340770834954429,-5,2025,2016,mathematics
6,2,0.109725244596294,0.0273510932155477,-4,2025,2018,mathematics
6,3,0.106575502404309,0.0288598074251273,-3,2025,2021,mathematics
6,4,0.0634978041642218,0.0487846156960631,-2,2025,2022,mathematics
6,5,0,,-1,2025,2023,mathematics
6,6,0.142858199625538,0.0263834011915521,0,2025,2025,mathematics
