k,att,se,lo,hi,subject
-4,-5e-04,0.0278,-0.0551,0.0541,Language
-3,-0.066,0.0156,-0.0965,-0.0355,Language
-2,0.0204,0.0185,-0.0158,0.0565,Language
-1,-0.0299,0.0272,-0.0832,0.0235,Language
0,0.0315,0.0219,-0.0114,0.0743,Language
1,0.0148,0.0303,-0.0446,0.0743,Language
2,-0.0265,0.047,-0.1186,0.0656,Language
3,-0.0578,0.0315,-0.1195,0.004,Language
4,-0.1007,0.044,-0.187,-0.0145,Language
-4,0.0018,0.031,-0.059,0.0627,Mathematics
-3,-0.0623,0.0194,-0.1003,-0.0243,Mathematics
-2,0.0228,0.0202,-0.0167,0.0623,Mathematics
-1,-0.0745,0.0315,-0.1362,-0.0128,Mathematics
0,0.124,0.0258,0.0735,0.1745,Mathematics
1,0.0358,0.0382,-0.0391,0.1106,Mathematics
2,0.1189,0.0632,-0.0051,0.2428,Mathematics
3,0.0168,0.0362,-0.0542,0.0877,Mathematics
4,-0.0248,0.0497,-0.1223,0.0727,Mathematics
