k,est,lo,hi,subject,spec
-2,0.000417827918509332,-0.0930138276844958,0.0938494835215145,Language,stable (school-level)
-1,0.0121699320271396,-0.0331955345942621,0.0575353986485413,Language,stable (school-level)
0,0,,,Language,stable (school-level)
1,-0.00443589125818728,-0.0324538128136312,0.0235820302972566,Language,stable (school-level)
2,0.0453808240197407,0.00748030715007141,0.0832813408894099,Language,stable (school-level)
3,-0.0266869851503007,-0.0721088335881072,0.0187348632875059,Language,stable (school-level)
-2,0.104459883282393,-0.00931282510324584,0.218232591668031,Mathematics,stable (school-level)
-1,0.0186957540227634,-0.034626309589735,0.0720178176352618,Mathematics,stable (school-level)
0,0,,,Mathematics,stable (school-level)
1,0.0103069784816686,-0.0239274326776505,0.0445413896409877,Mathematics,stable (school-level)
2,0.0499752299633436,0.000831885636433175,0.0991185742902541,Mathematics,stable (school-level)
3,-0.0559010459107803,-0.114451114477654,0.00264902265609359,Mathematics,stable (school-level)
-2,0.0146136044609411,-0.0961075669224391,0.125334775844321,Language,per-wave (hours switching)
-1,-0.00667506395670037,-0.0494674410961372,0.0361173131827364,Language,per-wave (hours switching)
0,0,,,Language,per-wave (hours switching)
1,0.000331043462263297,-0.0279573409984468,0.0286194279229734,Language,per-wave (hours switching)
2,0.0335547295578849,-0.012045279029553,0.0791547381453228,Language,per-wave (hours switching)
3,-0.0142925380377861,-0.054640597858713,0.0260555217831408,Language,per-wave (hours switching)
-2,0.0536947032968378,-0.0623741100479929,0.169763516641668,Mathematics,per-wave (hours switching)
-1,-0.0624066122639702,-0.110595435992114,-0.0142177885358263,Mathematics,per-wave (hours switching)
0,0,,,Mathematics,per-wave (hours switching)
1,-0.0369155419056658,-0.0720713609419123,-0.00175972286941924,Mathematics,per-wave (hours switching)
2,0.0360267080350369,-0.0223189354504469,0.0943723515205208,Mathematics,per-wave (hours switching)
3,-0.0670060933187651,-0.117918138381225,-0.0160940482563056,Mathematics,per-wave (hours switching)
