year,hours,scale,schools,recorded,rate_pct
2023,4h or less,2023 detail,4971,144,2.9
2023,5h,2023 detail,8720,2436,27.9
2023,6h,2023 detail,1592,1098,69
2023,7h or more,2023 detail,3720,3021,81.2
2021,4h or less,comparable across waves,13474,411,3.1
2021,5h,comparable across waves,2931,689,23.5
2021,6h or more,comparable across waves,2787,2363,84.8
2022,4h or less,comparable across waves,1485,24,1.6
2022,5h,comparable across waves,1235,99,8
2022,6h or more,comparable across waves,956,679,71
2023,4h or less,comparable across waves,4971,144,2.9
2023,5h,comparable across waves,8720,2436,27.9
2023,6h or more,comparable across waves,5312,4119,77.5
