cut,province,schools,recorded,rate_pct,rated
"2021, 6h or more",La Pampa,60,59,98.3,TRUE
"2021, 6h or more",Chubut,73,71,97.3,TRUE
"2021, 6h or more",Formosa,56,54,96.4,TRUE
"2021, 6h or more",San Juan,76,72,94.7,TRUE
"2021, 6h or more",Río Negro,110,104,94.5,TRUE
"2021, 6h or more",Salta,207,191,92.3,TRUE
"2021, 6h or more",Misiones,104,95,91.3,TRUE
"2021, 6h or more",Chaco,63,57,90.5,TRUE
"2021, 6h or more",Tucumán,60,54,90,TRUE
"2021, 6h or more",Neuquén,20,18,90,FALSE
"2021, 6h or more",Catamarca,95,85,89.5,TRUE
"2021, 6h or more",Jujuy,112,98,87.5,TRUE
"2021, 6h or more",Santiago del Estero,55,48,87.3,TRUE
"2021, 6h or more",Buenos Aires,655,563,86,TRUE
"2021, 6h or more",Ciudad de Buenos Aires,495,416,84,TRUE
"2021, 6h or more",La Rioja,31,26,83.9,TRUE
"2021, 6h or more",Córdoba,201,165,82.1,TRUE
"2021, 6h or more",Santa Fe,48,36,75,TRUE
"2021, 6h or more",Entre Ríos,145,100,69,TRUE
"2021, 6h or more",Tierra del Fuego,5,3,60,FALSE
"2021, 6h or more",Corrientes,14,8,57.1,FALSE
"2021, 6h or more",San Luis,14,8,57.1,FALSE
"2021, 6h or more",Santa Cruz,16,6,37.5,FALSE
"2021, 6h or more",Mendoza,72,26,36.1,TRUE
"2023, 5h",Chaco,724,702,97,TRUE
"2023, 5h",La Pampa,35,33,94.3,TRUE
"2023, 5h",Santa Cruz,69,65,94.2,TRUE
"2023, 5h",Santa Fe,946,791,83.6,TRUE
"2023, 5h",Tucumán,496,281,56.7,TRUE
"2023, 5h",Córdoba,499,249,49.9,TRUE
"2023, 5h",Chubut,73,30,41.1,TRUE
"2023, 5h",La Rioja,143,58,40.6,TRUE
"2023, 5h",Jujuy,139,48,34.5,TRUE
"2023, 5h",San Juan,155,33,21.3,TRUE
"2023, 5h",Santiago del Estero,794,50,6.3,TRUE
"2023, 5h",San Luis,50,3,6,TRUE
"2023, 5h",Corrientes,538,29,5.4,TRUE
"2023, 5h",Salta,371,16,4.3,TRUE
"2023, 5h",Entre Ríos,645,26,4,TRUE
"2023, 5h",Ciudad de Buenos Aires,75,3,4,TRUE
"2023, 5h",Formosa,394,12,3,TRUE
"2023, 5h",Tierra del Fuego,40,1,2.5,TRUE
"2023, 5h",Misiones,152,3,2,TRUE
"2023, 5h",Catamarca,92,1,1.1,TRUE
"2023, 5h",Mendoza,193,2,1,TRUE
"2023, 5h",Buenos Aires,1926,0,0,TRUE
"2023, 5h",Río Negro,155,0,0,TRUE
"2023, 5h",Neuquén,16,0,0,FALSE
