k,est,lo,hi,subject,spec
-4,0.119305200666442,-0.155899065907598,0.394509467240481,nonpromotion,full panel
-3,0.289540964895706,0.0279345488156348,0.551147380975777,nonpromotion,full panel
-2,0.273879568376921,0.0957108301615574,0.452048306592284,nonpromotion,full panel
-1,0.190987094704273,-0.00283551192663209,0.384809701335179,nonpromotion,full panel
0,0,,,nonpromotion,full panel
1,0.150223295533848,-0.0471738558874812,0.347620446955177,nonpromotion,full panel
2,-0.0511924704366929,-0.233280870215262,0.130895929341877,nonpromotion,full panel
3,0.0885224970585379,-0.110160841809852,0.287205835926928,nonpromotion,full panel
4,0.0436402199254333,-0.178698636884718,0.265979076735584,nonpromotion,full panel
-4,0.121934771190508,-0.207496423185995,0.451365965567012,nonpromotion,drop 2020-21
-3,0.230714347183354,-0.0476890097333383,0.509117704100046,nonpromotion,drop 2020-21
-2,0.297791687796724,0.0945653279106975,0.501018047682751,nonpromotion,drop 2020-21
-1,0.382115798833388,0.187785773289837,0.576445824376939,nonpromotion,drop 2020-21
0,0,,,nonpromotion,drop 2020-21
1,0.112457687891559,-0.0867499944894423,0.31166537027256,nonpromotion,drop 2020-21
2,-0.0859551259443986,-0.271723745652535,0.0998134937637374,nonpromotion,drop 2020-21
3,-0.0165354583453359,-0.227067122960921,0.193996206270249,nonpromotion,drop 2020-21
4,0.0762861673930679,-0.142635898413292,0.295208233199428,nonpromotion,drop 2020-21
-4,0.0197222631930764,-0.172120172370977,0.21156469875713,dropout,full panel
-3,-0.0287086531430477,-0.165629539811661,0.108212233525565,dropout,full panel
-2,-0.115880842679364,-0.225135596699688,-0.0066260886590391,dropout,full panel
-1,0.00405276261901219,-0.136254270641638,0.144359795879662,dropout,full panel
0,0,,,dropout,full panel
1,-0.0453529101816592,-0.172032515842822,0.0813266954795039,dropout,full panel
2,-0.00997381194775902,-0.12524235326137,0.105294729365852,dropout,full panel
3,-0.0118362587810496,-0.134084213050672,0.110411695488573,dropout,full panel
4,0.0396292466827189,-0.104275984879034,0.183534478244471,dropout,full panel
-4,0.109986906627504,-0.109369075677811,0.329342888932819,dropout,drop 2020-21
-3,-0.0509543864797607,-0.204547985229457,0.102639212269936,dropout,drop 2020-21
-2,-0.0866139625507858,-0.208083805852448,0.0348558807508762,dropout,drop 2020-21
-1,-0.0756574924136106,-0.211597908682513,0.0602829238552916,dropout,drop 2020-21
0,0,,,dropout,drop 2020-21
1,-0.0428320509148634,-0.169339688321436,0.0836755864917092,dropout,drop 2020-21
2,-0.0185551958230571,-0.135865962537115,0.0987555708910013,dropout,drop 2020-21
3,-0.0600547559622134,-0.197775861524822,0.0776663496003954,dropout,drop 2020-21
4,0.127065870317057,-0.0433826894168139,0.297514430050927,dropout,drop 2020-21
