k,est,se,lo,hi,subject
-12,0.236398203236666,0.466995558981679,-0.678913092367426,1.15170949884076,nonpromotion
-11,0.18362574187722,0.298681023139071,-0.40178906347536,0.7690405472298,nonpromotion
-10,-0.0625032555406339,0.250243224819795,-0.552979976187432,0.427973465106164,nonpromotion
-9,0.114542776605628,0.235120209574634,-0.346292834160654,0.57537838737191,nonpromotion
-8,0.130225222139005,0.217000145844479,-0.295095063716173,0.555545507994183,nonpromotion
-7,-0.273093396777368,0.197523426226918,-0.660239312182126,0.11405251862739,nonpromotion
-6,0.527509207637147,0.226644927663049,0.0832851494175697,0.971733265856724,nonpromotion
-5,-0.191315473696551,0.203068604717215,-0.589329938942291,0.206698991549189,nonpromotion
-4,0.167137755303721,0.207291554805868,-0.23915369211578,0.573429202723221,nonpromotion
-3,-0.276034786863908,0.208314844210303,-0.684331881516102,0.132262307788285,nonpromotion
-2,-0.160197276308047,0.21585463121702,-0.583272353493407,0.262877800877313,nonpromotion
-1,-0.00957254903061336,0.269770137787073,-0.538322019093277,0.51917692103205,nonpromotion
0,-0.572588412255938,0.29969296680618,-1.15998662719605,0.0148098026841744,nonpromotion
1,-0.837999149246585,0.288695526195054,-1.40384238058889,-0.272155917904279,nonpromotion
2,0.752390964552049,0.269955441602631,0.223278299010892,1.28150363009321,nonpromotion
3,0.440182985774898,0.362490580753973,-0.270298552502889,1.15066452405269,nonpromotion
4,0.301507028491527,0.341259726868737,-0.367362036171197,0.970376093154251,nonpromotion
5,-0.0491658922840014,0.230790989051396,-0.501516230824737,0.403184446256735,nonpromotion
6,0.322515175191243,0.256633772265224,-0.180487018448596,0.825517368831083,nonpromotion
7,0.399640034397294,0.518049731392189,-0.615737439131396,1.41501750792598,nonpromotion
-12,0.0954498040831955,0.409507767528055,-0.707185420271792,0.898085028438183,dropout
-11,-0.0184927353306806,0.197392186895619,-0.405381421646095,0.368395950984733,dropout
-10,-0.107077852718693,0.164063156697174,-0.428641639845154,0.214485934407768,dropout
-9,0.357085673180821,0.156554708885896,0.0502384437644643,0.663932902597178,dropout
-8,-0.214567258470257,0.186067899475568,-0.579260341442371,0.150125824501856,dropout
-7,0.357688902160252,0.190545140008655,-0.0157795722567126,0.731157376577216,dropout
-6,-0.507591861753276,0.186478174204044,-0.873089083193202,-0.14209464031335,dropout
-5,0.226742693520723,0.120452189159201,-0.00934359723131181,0.462828984272758,dropout
-4,0.0517548613993082,0.105943938984184,-0.155895259009693,0.259404981808309,dropout
-3,-0.0624385006493544,0.0869841529441171,-0.232927440419824,0.108050439121115,dropout
-2,0.184697178726611,0.142698094724316,-0.0949910869330481,0.46438544438627,dropout
-1,0.0196242543849543,0.138609344739224,-0.252050061303925,0.291298570073834,dropout
0,-0.112239000617235,0.130447193119963,-0.367915499132363,0.143437497897893,dropout
1,-0.0959704049001972,0.166187780824385,-0.421698455315992,0.229757645515597,dropout
2,-0.0701355192882567,0.0857675687371247,-0.238239954013021,0.0979689154365078,dropout
3,-0.0259890802384086,0.0969958479964458,-0.216100942311442,0.164122781834625,dropout
4,-0.0279023516146553,0.11589457413906,-0.255055716927213,0.199251013697902,dropout
5,1.1397466728377,0.913399103306873,-0.65051556964377,2.93000891531917,dropout
6,0.0665219242679117,0.148661342806891,-0.224854307633594,0.357898156169418,dropout
7,-0.137083521515357,0.217935908398557,-0.564237901976528,0.290070858945814,dropout
