k,ATT,S.E.,CI.lower,CI.upper,p.value,count,spec
-4,0.0134763721267956,0.0135076687799343,-0.0129981721969718,0.039950916450563,0.318433077116351,1009,language
-3,0.0210033404498142,0.00657944379870761,0.00810786756604185,0.0338988133335865,0.00141160845392441,3672,language
-2,-0.0175300701384699,0.00551269765494226,-0.0283347589998152,-0.00672538127712469,0.00147303487433614,4065,language
-1,0.00638746102496241,0.00551708339793035,-0.00442582373468492,0.0172007457846097,0.246961802371465,3623,language
0,-0.00916639683383783,0.0054322813275961,-0.0198134725898156,0.00148067892213996,0.0915276905243323,2619,language
1,-0.0481117083034511,0.00837558021680936,-0.0645275438780237,-0.0316958727288786,9.23109499950669e-09,6023,language
2,-0.0194749101758691,0.0112170472202031,-0.0414599187403523,0.00251009838861408,0.0825304818119037,2865,language
3,-0.0150579034684988,0.0234823190418043,-0.0610824030639143,0.0309665961269168,0.521363965240517,460,language
4,-0.0159093877089811,0.023526108885341,-0.0620197138206172,0.0302009384026549,0.498885802128904,592,language
5,-0.0432254170611625,0.0384793749418327,-0.118643606094768,0.0321927719724427,0.261293165629029,231,language
-4,0.0240114376155031,0.0153366657984635,-0.00604787499241258,0.0540707502234187,0.117436888508293,1006,mathematics
-3,0.0214662955456432,0.00753841123378621,0.00669128102677006,0.0362413100645163,0.00440517997874634,3654,mathematics
-2,-0.0185235538074282,0.00666635280122223,-0.0315893652060615,-0.00545774240879491,0.00545829707659373,4051,mathematics
-1,0.0185785232854302,0.00659700351758268,0.00564863398508412,0.0315084125857763,0.00485944418439388,3609,mathematics
0,-0.0173297133532997,0.00655816451743378,-0.0301834796121584,-0.00447594709444096,0.00823052252120338,2614,mathematics
1,-0.0623200578711811,0.0103205731682107,-0.0825480095806844,-0.0420921061616778,1.55620982766891e-09,5985,mathematics
2,-0.0679601783624592,0.014794381230581,-0.0969566327479533,-0.038963723976965,4.35564047629455e-06,2859,mathematics
3,-0.0411409143942519,0.0330754275272869,-0.105967561120999,0.0236857323324952,0.213554286131881,460,mathematics
4,-0.0158495687292388,0.0295893416105497,-0.0738436126121686,0.042144475153691,0.592199580432349,590,mathematics
5,-0.00092589836032171,0.0454918007304741,-0.0900881893839239,0.0882363926632805,0.983761711057587,229,mathematics
