estimator,counterfactual_trend,subject,att,se
CDH (did_multiplegt_dyn),local: not-yet-treated,language,0.0201,0.0173
CDH (did_multiplegt_dyn),local: not-yet-treated,mathematics,0.0486,0.0211
Callaway-Sant'Anna,local: not-yet-treated,language,-0.0041,0.0291
Callaway-Sant'Anna,local: not-yet-treated,mathematics,0.0826,0.0333
FEct (interactive FE),factor structure,language,-0.0193,0.0139
FEct (interactive FE),factor structure,mathematics,-0.0751,0.0164
FEct (FE imputation),common two-way trend,language,-0.0449,0.012
FEct (FE imputation),common two-way trend,mathematics,-0.0773,0.0152
TWFE,common two-way trend,language,-0.042,0.0111
TWFE,common two-way trend,mathematics,-0.0773,0.0136
